DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1989-01-01,1989,1,1,SECEX12_X375FOB12,1989-01-01T00:00:00-02:00,2813633.0
1989-02-01,1989,1,2,SECEX12_X375FOB12,1989-02-01T00:00:00-02:00,2578746.0
1989-03-01,1989,1,3,SECEX12_X375FOB12,1989-03-01T00:00:00-03:00,2871838.0
1989-04-01,1989,1,4,SECEX12_X375FOB12,1989-04-01T00:00:00-03:00,3111212.0
1989-05-01,1989,1,5,SECEX12_X375FOB12,1989-05-01T00:00:00-03:00,2462340.0
1989-06-01,1989,1,6,SECEX12_X375FOB12,1989-06-01T00:00:00-03:00,2040853.0
1989-07-01,1989,1,7,SECEX12_X375FOB12,1989-07-01T00:00:00-03:00,2686506.0
1989-08-01,1989,1,8,SECEX12_X375FOB12,1989-08-01T00:00:00-03:00,4495017.0
1989-09-01,1989,1,9,SECEX12_X375FOB12,1989-09-01T00:00:00-03:00,3117198.0
1989-10-01,1989,1,10,SECEX12_X375FOB12,1989-10-01T00:00:00-03:00,4827461.0
1989-11-01,1989,1,11,SECEX12_X375FOB12,1989-11-01T00:00:00-03:00,3353902.0
1989-12-01,1989,1,12,SECEX12_X375FOB12,1989-12-01T00:00:00-02:00,2873817.0
1990-01-01,1990,1,1,SECEX12_X375FOB12,1990-01-01T00:00:00-02:00,2051786.0
1990-02-01,1990,1,2,SECEX12_X375FOB12,1990-02-01T00:00:00-02:00,1468214.0
1990-03-01,1990,1,3,SECEX12_X375FOB12,1990-03-01T00:00:00-03:00,3031154.0
1990-04-01,1990,1,4,SECEX12_X375FOB12,1990-04-01T00:00:00-03:00,2360282.0
1990-05-01,1990,1,5,SECEX12_X375FOB12,1990-05-01T00:00:00-03:00,1996409.0
1990-06-01,1990,1,6,SECEX12_X375FOB12,1990-06-01T00:00:00-03:00,1200185.0
1990-07-01,1990,1,7,SECEX12_X375FOB12,1990-07-01T00:00:00-03:00,2528167.0
1990-08-01,1990,1,8,SECEX12_X375FOB12,1990-08-01T00:00:00-03:00,3461760.0
1990-09-01,1990,1,9,SECEX12_X375FOB12,1990-09-01T00:00:00-03:00,1238239.0
1990-10-01,1990,1,10,SECEX12_X375FOB12,1990-10-01T00:00:00-03:00,5647691.0
1990-11-01,1990,1,11,SECEX12_X375FOB12,1990-11-01T00:00:00-03:00,2998127.0
1990-12-01,1990,1,12,SECEX12_X375FOB12,1990-12-01T00:00:00-02:00,3772520.0
1991-01-01,1991,1,1,SECEX12_X375FOB12,1991-01-01T00:00:00-02:00,3180404.0
1991-02-01,1991,1,2,SECEX12_X375FOB12,1991-02-01T00:00:00-02:00,2352477.0
1991-03-01,1991,1,3,SECEX12_X375FOB12,1991-03-01T00:00:00-03:00,1391964.0
1991-04-01,1991,1,4,SECEX12_X375FOB12,1991-04-01T00:00:00-03:00,2618855.0
1991-05-01,1991,1,5,SECEX12_X375FOB12,1991-05-01T00:00:00-03:00,2701406.0
1991-06-01,1991,1,6,SECEX12_X375FOB12,1991-06-01T00:00:00-03:00,3187219.0
1991-07-01,1991,1,7,SECEX12_X375FOB12,1991-07-01T00:00:00-03:00,6961968.0
1991-08-01,1991,1,8,SECEX12_X375FOB12,1991-08-01T00:00:00-03:00,1671370.0
1991-09-01,1991,1,9,SECEX12_X375FOB12,1991-09-01T00:00:00-03:00,1323545.0
1991-10-01,1991,1,10,SECEX12_X375FOB12,1991-10-01T00:00:00-03:00,6173328.0
1991-11-01,1991,1,11,SECEX12_X375FOB12,1991-11-01T00:00:00-03:00,3521923.0
1991-12-01,1991,1,12,SECEX12_X375FOB12,1991-12-01T00:00:00-02:00,1592485.0
1992-01-01,1992,1,1,SECEX12_X375FOB12,1992-01-01T00:00:00-02:00,1816510.0
1992-02-01,1992,1,2,SECEX12_X375FOB12,1992-02-01T00:00:00-02:00,1361394.0
1992-03-01,1992,1,3,SECEX12_X375FOB12,1992-03-01T00:00:00-03:00,1829553.0
1992-04-01,1992,1,4,SECEX12_X375FOB12,1992-04-01T00:00:00-03:00,1949693.0
1992-05-01,1992,1,5,SECEX12_X375FOB12,1992-05-01T00:00:00-03:00,77925636.0
1992-06-01,1992,1,6,SECEX12_X375FOB12,1992-06-01T00:00:00-03:00,2269360.0
1992-07-01,1992,1,7,SECEX12_X375FOB12,1992-07-01T00:00:00-03:00,4508522.0
1992-08-01,1992,1,8,SECEX12_X375FOB12,1992-08-01T00:00:00-03:00,1547548.0
1992-09-01,1992,1,9,SECEX12_X375FOB12,1992-09-01T00:00:00-03:00,5783885.0
1992-10-01,1992,1,10,SECEX12_X375FOB12,1992-10-01T00:00:00-03:00,8138343.0
1992-11-01,1992,1,11,SECEX12_X375FOB12,1992-11-01T00:00:00-03:00,2612904.0
1992-12-01,1992,1,12,SECEX12_X375FOB12,1992-12-01T00:00:00-02:00,3279832.0
1993-01-01,1993,1,1,SECEX12_X375FOB12,1993-01-01T00:00:00-02:00,8601092.0
1993-02-01,1993,1,2,SECEX12_X375FOB12,1993-02-01T00:00:00-02:00,2649920.0
1993-03-01,1993,1,3,SECEX12_X375FOB12,1993-03-01T00:00:00-03:00,1747964.0
1993-04-01,1993,1,4,SECEX12_X375FOB12,1993-04-01T00:00:00-03:00,2741010.0
1993-05-01,1993,1,5,SECEX12_X375FOB12,1993-05-01T00:00:00-03:00,2427128.0
1993-06-01,1993,1,6,SECEX12_X375FOB12,1993-06-01T00:00:00-03:00,2577399.0
1993-07-01,1993,1,7,SECEX12_X375FOB12,1993-07-01T00:00:00-03:00,2332985.0
1993-08-01,1993,1,8,SECEX12_X375FOB12,1993-08-01T00:00:00-03:00,4836218.0
1993-09-01,1993,1,9,SECEX12_X375FOB12,1993-09-01T00:00:00-03:00,4341359.0
1993-10-01,1993,1,10,SECEX12_X375FOB12,1993-10-01T00:00:00-03:00,5047712.0
1993-11-01,1993,1,11,SECEX12_X375FOB12,1993-11-01T00:00:00-03:00,17283396.0
1993-12-01,1993,1,12,SECEX12_X375FOB12,1993-12-01T00:00:00-02:00,5164211.0
1994-01-01,1994,1,1,SECEX12_X375FOB12,1994-01-01T00:00:00-02:00,37837729.0
1994-02-01,1994,1,2,SECEX12_X375FOB12,1994-02-01T00:00:00-02:00,8247210.0
1994-03-01,1994,1,3,SECEX12_X375FOB12,1994-03-01T00:00:00-03:00,2623064.0
1994-04-01,1994,1,4,SECEX12_X375FOB12,1994-04-01T00:00:00-03:00,8631556.0
1994-05-01,1994,1,5,SECEX12_X375FOB12,1994-05-01T00:00:00-03:00,3797044.0
1994-06-01,1994,1,6,SECEX12_X375FOB12,1994-06-01T00:00:00-03:00,9346560.0
1994-07-01,1994,1,7,SECEX12_X375FOB12,1994-07-01T00:00:00-03:00,7989616.0
1994-08-01,1994,1,8,SECEX12_X375FOB12,1994-08-01T00:00:00-03:00,5268332.0
1994-09-01,1994,1,9,SECEX12_X375FOB12,1994-09-01T00:00:00-03:00,5003189.0
1994-10-01,1994,1,10,SECEX12_X375FOB12,1994-10-01T00:00:00-03:00,4010713.0
1994-11-01,1994,1,11,SECEX12_X375FOB12,1994-11-01T00:00:00-03:00,9421134.0
1994-12-01,1994,1,12,SECEX12_X375FOB12,1994-12-01T00:00:00-02:00,16436383.0
1995-01-01,1995,1,1,SECEX12_X375FOB12,1995-01-01T00:00:00-02:00,2028100.0
1995-02-01,1995,1,2,SECEX12_X375FOB12,1995-02-01T00:00:00-02:00,2309926.0
1995-03-01,1995,1,3,SECEX12_X375FOB12,1995-03-01T00:00:00-03:00,2832424.0
1995-04-01,1995,1,4,SECEX12_X375FOB12,1995-04-01T00:00:00-03:00,2897301.0
1995-05-01,1995,1,5,SECEX12_X375FOB12,1995-05-01T00:00:00-03:00,4105702.0
1995-06-01,1995,1,6,SECEX12_X375FOB12,1995-06-01T00:00:00-03:00,10393795.0
1995-07-01,1995,1,7,SECEX12_X375FOB12,1995-07-01T00:00:00-03:00,2894091.0
1995-08-01,1995,1,8,SECEX12_X375FOB12,1995-08-01T00:00:00-03:00,5118609.0
1995-09-01,1995,1,9,SECEX12_X375FOB12,1995-09-01T00:00:00-03:00,8437978.0
1995-10-01,1995,1,10,SECEX12_X375FOB12,1995-10-01T00:00:00-03:00,12016389.0
1995-11-01,1995,1,11,SECEX12_X375FOB12,1995-11-01T00:00:00-03:00,5956236.0
1995-12-01,1995,1,12,SECEX12_X375FOB12,1995-12-01T00:00:00-02:00,7155440.0
1996-01-01,1996,1,1,SECEX12_X375FOB12,1996-01-01T00:00:00-02:00,1891218.0
1996-02-01,1996,1,2,SECEX12_X375FOB12,1996-02-01T00:00:00-02:00,6478586.0
1996-03-01,1996,1,3,SECEX12_X375FOB12,1996-03-01T00:00:00-03:00,3217882.0
1996-04-01,1996,1,4,SECEX12_X375FOB12,1996-04-01T00:00:00-03:00,9370625.0
1996-05-01,1996,1,5,SECEX12_X375FOB12,1996-05-01T00:00:00-03:00,2038271.0
1996-06-01,1996,1,6,SECEX12_X375FOB12,1996-06-01T00:00:00-03:00,6101630.0
1996-07-01,1996,1,7,SECEX12_X375FOB12,1996-07-01T00:00:00-03:00,5880790.0
1996-08-01,1996,1,8,SECEX12_X375FOB12,1996-08-01T00:00:00-03:00,11895309.0
1996-09-01,1996,1,9,SECEX12_X375FOB12,1996-09-01T00:00:00-03:00,10452352.0
1996-10-01,1996,1,10,SECEX12_X375FOB12,1996-10-01T00:00:00-03:00,3983183.0
1996-11-01,1996,1,11,SECEX12_X375FOB12,1996-11-01T00:00:00-03:00,9466364.0
1996-12-01,1996,1,12,SECEX12_X375FOB12,1996-12-01T00:00:00-02:00,4421723.0
1997-01-01,1997,1,1,SECEX12_X375FOB12,1997-01-01T00:00:00-02:00,3255242.0
1997-02-01,1997,1,2,SECEX12_X375FOB12,1997-02-01T00:00:00-02:00,3765138.0
1997-03-01,1997,1,3,SECEX12_X375FOB12,1997-03-01T00:00:00-03:00,3031387.0
1997-04-01,1997,1,4,SECEX12_X375FOB12,1997-04-01T00:00:00-03:00,9916710.0
1997-05-01,1997,1,5,SECEX12_X375FOB12,1997-05-01T00:00:00-03:00,2309184.0
1997-06-01,1997,1,6,SECEX12_X375FOB12,1997-06-01T00:00:00-03:00,3225206.0
1997-07-01,1997,1,7,SECEX12_X375FOB12,1997-07-01T00:00:00-03:00,3953323.0
1997-08-01,1997,1,8,SECEX12_X375FOB12,1997-08-01T00:00:00-03:00,2238163.0
1997-09-01,1997,1,9,SECEX12_X375FOB12,1997-09-01T00:00:00-03:00,8112066.0
1997-10-01,1997,1,10,SECEX12_X375FOB12,1997-10-01T00:00:00-03:00,5269582.0
1997-11-01,1997,1,11,SECEX12_X375FOB12,1997-11-01T00:00:00-03:00,3334561.0
1997-12-01,1997,1,12,SECEX12_X375FOB12,1997-12-01T00:00:00-02:00,3722047.0
1998-01-01,1998,1,1,SECEX12_X375FOB12,1998-01-01T00:00:00-02:00,1855729.0
1998-02-01,1998,1,2,SECEX12_X375FOB12,1998-02-01T00:00:00-02:00,3049992.0
1998-03-01,1998,1,3,SECEX12_X375FOB12,1998-03-01T00:00:00-03:00,1958259.0
1998-04-01,1998,1,4,SECEX12_X375FOB12,1998-04-01T00:00:00-03:00,2603664.0
1998-05-01,1998,1,5,SECEX12_X375FOB12,1998-05-01T00:00:00-03:00,2697076.0
1998-06-01,1998,1,6,SECEX12_X375FOB12,1998-06-01T00:00:00-03:00,2872731.0
1998-07-01,1998,1,7,SECEX12_X375FOB12,1998-07-01T00:00:00-03:00,4537440.0
1998-08-01,1998,1,8,SECEX12_X375FOB12,1998-08-01T00:00:00-03:00,2456789.0
1998-09-01,1998,1,9,SECEX12_X375FOB12,1998-09-01T00:00:00-03:00,7791255.0
1998-10-01,1998,1,10,SECEX12_X375FOB12,1998-10-01T00:00:00-03:00,3564838.0
1998-11-01,1998,1,11,SECEX12_X375FOB12,1998-11-01T00:00:00-03:00,7024894.0
1998-12-01,1998,1,12,SECEX12_X375FOB12,1998-12-01T00:00:00-02:00,3117370.0
1999-01-01,1999,1,1,SECEX12_X375FOB12,1999-01-01T00:00:00-02:00,2696182.0
1999-02-01,1999,1,2,SECEX12_X375FOB12,1999-02-01T00:00:00-02:00,2610597.0
1999-03-01,1999,1,3,SECEX12_X375FOB12,1999-03-01T00:00:00-03:00,1940524.0
1999-04-01,1999,1,4,SECEX12_X375FOB12,1999-04-01T00:00:00-03:00,2175317.0
1999-05-01,1999,1,5,SECEX12_X375FOB12,1999-05-01T00:00:00-03:00,3077060.0
1999-06-01,1999,1,6,SECEX12_X375FOB12,1999-06-01T00:00:00-03:00,10696804.0
1999-07-01,1999,1,7,SECEX12_X375FOB12,1999-07-01T00:00:00-03:00,9173323.0
1999-08-01,1999,1,8,SECEX12_X375FOB12,1999-08-01T00:00:00-03:00,8853150.0
1999-09-01,1999,1,9,SECEX12_X375FOB12,1999-09-01T00:00:00-03:00,10863836.0
1999-10-01,1999,1,10,SECEX12_X375FOB12,1999-10-01T00:00:00-03:00,12574170.0
1999-11-01,1999,1,11,SECEX12_X375FOB12,1999-11-01T00:00:00-03:00,10979624.0
1999-12-01,1999,1,12,SECEX12_X375FOB12,1999-12-01T00:00:00-02:00,7332645.0
2000-01-01,2000,1,1,SECEX12_X375FOB12,2000-01-01T00:00:00-02:00,4473279.0
2000-02-01,2000,1,2,SECEX12_X375FOB12,2000-02-01T00:00:00-02:00,9055291.0
2000-03-01,2000,1,3,SECEX12_X375FOB12,2000-03-01T00:00:00-03:00,6390678.0
2000-04-01,2000,1,4,SECEX12_X375FOB12,2000-04-01T00:00:00-03:00,3536702.0
2000-05-01,2000,1,5,SECEX12_X375FOB12,2000-05-01T00:00:00-03:00,8548983.0
2000-06-01,2000,1,6,SECEX12_X375FOB12,2000-06-01T00:00:00-03:00,11103210.0
2000-07-01,2000,1,7,SECEX12_X375FOB12,2000-07-01T00:00:00-03:00,5213695.0
2000-08-01,2000,1,8,SECEX12_X375FOB12,2000-08-01T00:00:00-03:00,12055491.0
2000-09-01,2000,1,9,SECEX12_X375FOB12,2000-09-01T00:00:00-03:00,10575163.0
2000-10-01,2000,1,10,SECEX12_X375FOB12,2000-10-01T00:00:00-03:00,8877796.0
2000-11-01,2000,1,11,SECEX12_X375FOB12,2000-11-01T00:00:00-03:00,11046896.0
2000-12-01,2000,1,12,SECEX12_X375FOB12,2000-12-01T00:00:00-02:00,9904928.0
2001-01-01,2001,1,1,SECEX12_X375FOB12,2001-01-01T00:00:00-02:00,10435290.0
2001-02-01,2001,1,2,SECEX12_X375FOB12,2001-02-01T00:00:00-02:00,8961424.0
2001-03-01,2001,1,3,SECEX12_X375FOB12,2001-03-01T00:00:00-03:00,5041003.0
2001-04-01,2001,1,4,SECEX12_X375FOB12,2001-04-01T00:00:00-03:00,3889143.0
2001-05-01,2001,1,5,SECEX12_X375FOB12,2001-05-01T00:00:00-03:00,12804651.0
2001-06-01,2001,1,6,SECEX12_X375FOB12,2001-06-01T00:00:00-03:00,9803488.0
2001-07-01,2001,1,7,SECEX12_X375FOB12,2001-07-01T00:00:00-03:00,6103479.0
2001-08-01,2001,1,8,SECEX12_X375FOB12,2001-08-01T00:00:00-03:00,224950046.0
2001-09-01,2001,1,9,SECEX12_X375FOB12,2001-09-01T00:00:00-03:00,11672216.0
2001-10-01,2001,1,10,SECEX12_X375FOB12,2001-10-01T00:00:00-03:00,9084703.0
2001-11-01,2001,1,11,SECEX12_X375FOB12,2001-11-01T00:00:00-03:00,15548316.0
2001-12-01,2001,1,12,SECEX12_X375FOB12,2001-12-01T00:00:00-02:00,4947203.0
2002-01-01,2002,1,1,SECEX12_X375FOB12,2002-01-01T00:00:00-02:00,5808405.0
2002-02-01,2002,1,2,SECEX12_X375FOB12,2002-02-01T00:00:00-02:00,6021294.0
2002-03-01,2002,1,3,SECEX12_X375FOB12,2002-03-01T00:00:00-03:00,4858586.0
2002-04-01,2002,1,4,SECEX12_X375FOB12,2002-04-01T00:00:00-03:00,5334651.0
2002-05-01,2002,1,5,SECEX12_X375FOB12,2002-05-01T00:00:00-03:00,9556717.0
2002-06-01,2002,1,6,SECEX12_X375FOB12,2002-06-01T00:00:00-03:00,7627978.0
2002-07-01,2002,1,7,SECEX12_X375FOB12,2002-07-01T00:00:00-03:00,11113408.0
2002-08-01,2002,1,8,SECEX12_X375FOB12,2002-08-01T00:00:00-03:00,9938632.0
2002-09-01,2002,1,9,SECEX12_X375FOB12,2002-09-01T00:00:00-03:00,10308252.0
2002-10-01,2002,1,10,SECEX12_X375FOB12,2002-10-01T00:00:00-03:00,18802928.0
2002-11-01,2002,1,11,SECEX12_X375FOB12,2002-11-01T00:00:00-03:00,9151155.0
2002-12-01,2002,1,12,SECEX12_X375FOB12,2002-12-01T00:00:00-02:00,14293761.0
2003-01-01,2003,1,1,SECEX12_X375FOB12,2003-01-01T00:00:00-02:00,9789068.0
2003-02-01,2003,1,2,SECEX12_X375FOB12,2003-02-01T00:00:00-02:00,6505321.0
2003-03-01,2003,1,3,SECEX12_X375FOB12,2003-03-01T00:00:00-03:00,7914361.0
2003-04-01,2003,1,4,SECEX12_X375FOB12,2003-04-01T00:00:00-03:00,7412157.0
2003-05-01,2003,1,5,SECEX12_X375FOB12,2003-05-01T00:00:00-03:00,9829106.0
2003-06-01,2003,1,6,SECEX12_X375FOB12,2003-06-01T00:00:00-03:00,15123440.0
2003-07-01,2003,1,7,SECEX12_X375FOB12,2003-07-01T00:00:00-03:00,7947603.0
2003-08-01,2003,1,8,SECEX12_X375FOB12,2003-08-01T00:00:00-03:00,11497490.0
2003-09-01,2003,1,9,SECEX12_X375FOB12,2003-09-01T00:00:00-03:00,13471518.0
2003-10-01,2003,1,10,SECEX12_X375FOB12,2003-10-01T00:00:00-03:00,28612957.0
2003-11-01,2003,1,11,SECEX12_X375FOB12,2003-11-01T00:00:00-03:00,27498018.0
2003-12-01,2003,1,12,SECEX12_X375FOB12,2003-12-01T00:00:00-02:00,18986927.0
2004-01-01,2004,1,1,SECEX12_X375FOB12,2004-01-01T00:00:00-02:00,9324330.0
2004-02-01,2004,1,2,SECEX12_X375FOB12,2004-02-01T00:00:00-02:00,15736000.0
2004-03-01,2004,1,3,SECEX12_X375FOB12,2004-03-01T00:00:00-03:00,17998045.0
2004-04-01,2004,1,4,SECEX12_X375FOB12,2004-04-01T00:00:00-03:00,11306210.0
2004-05-01,2004,1,5,SECEX12_X375FOB12,2004-05-01T00:00:00-03:00,16710601.0
2004-06-01,2004,1,6,SECEX12_X375FOB12,2004-06-01T00:00:00-03:00,12509800.0
2004-07-01,2004,1,7,SECEX12_X375FOB12,2004-07-01T00:00:00-03:00,12673011.0
2004-08-01,2004,1,8,SECEX12_X375FOB12,2004-08-01T00:00:00-03:00,13456952.0
2004-09-01,2004,1,9,SECEX12_X375FOB12,2004-09-01T00:00:00-03:00,13884662.0
2004-10-01,2004,1,10,SECEX12_X375FOB12,2004-10-01T00:00:00-03:00,21631404.0
2004-11-01,2004,1,11,SECEX12_X375FOB12,2004-11-01T00:00:00-03:00,30501482.0
2004-12-01,2004,1,12,SECEX12_X375FOB12,2004-12-01T00:00:00-02:00,11907409.0
2005-01-01,2005,1,1,SECEX12_X375FOB12,2005-01-01T00:00:00-02:00,15326770.0
2005-02-01,2005,1,2,SECEX12_X375FOB12,2005-02-01T00:00:00-02:00,34938596.0
2005-03-01,2005,1,3,SECEX12_X375FOB12,2005-03-01T00:00:00-03:00,14978137.0
2005-04-01,2005,1,4,SECEX12_X375FOB12,2005-04-01T00:00:00-03:00,9117922.0
2005-05-01,2005,1,5,SECEX12_X375FOB12,2005-05-01T00:00:00-03:00,20586295.0
2005-06-01,2005,1,6,SECEX12_X375FOB12,2005-06-01T00:00:00-03:00,14602094.0
2005-07-01,2005,1,7,SECEX12_X375FOB12,2005-07-01T00:00:00-03:00,14371513.0
2005-08-01,2005,1,8,SECEX12_X375FOB12,2005-08-01T00:00:00-03:00,18744493.0
2005-09-01,2005,1,9,SECEX12_X375FOB12,2005-09-01T00:00:00-03:00,23572187.0
2005-10-01,2005,1,10,SECEX12_X375FOB12,2005-10-01T00:00:00-03:00,19780733.0
2005-11-01,2005,1,11,SECEX12_X375FOB12,2005-11-01T00:00:00-02:00,30774320.0
2005-12-01,2005,1,12,SECEX12_X375FOB12,2005-12-01T00:00:00-02:00,15427087.0
2006-01-01,2006,1,1,SECEX12_X375FOB12,2006-01-01T00:00:00-02:00,18666948.0
2006-02-01,2006,1,2,SECEX12_X375FOB12,2006-02-01T00:00:00-02:00,12793954.0
2006-03-01,2006,1,3,SECEX12_X375FOB12,2006-03-01T00:00:00-03:00,38102719.0
2006-04-01,2006,1,4,SECEX12_X375FOB12,2006-04-01T00:00:00-03:00,19050574.0
2006-05-01,2006,1,5,SECEX12_X375FOB12,2006-05-01T00:00:00-03:00,15561322.0
2006-06-01,2006,1,6,SECEX12_X375FOB12,2006-06-01T00:00:00-03:00,14397828.0
2006-07-01,2006,1,7,SECEX12_X375FOB12,2006-07-01T00:00:00-03:00,15077197.0
2006-08-01,2006,1,8,SECEX12_X375FOB12,2006-08-01T00:00:00-03:00,29915185.0
2006-09-01,2006,1,9,SECEX12_X375FOB12,2006-09-01T00:00:00-03:00,40089246.0
2006-10-01,2006,1,10,SECEX12_X375FOB12,2006-10-01T00:00:00-03:00,40405103.0
2006-11-01,2006,1,11,SECEX12_X375FOB12,2006-11-01T00:00:00-03:00,16898001.0
2006-12-01,2006,1,12,SECEX12_X375FOB12,2006-12-01T00:00:00-02:00,78144006.0
2007-01-01,2007,1,1,SECEX12_X375FOB12,2007-01-01T00:00:00-02:00,45943027.0
2007-02-01,2007,1,2,SECEX12_X375FOB12,2007-02-01T00:00:00-02:00,14807330.0
2007-03-01,2007,1,3,SECEX12_X375FOB12,2007-03-01T00:00:00-03:00,47097071.0
2007-04-01,2007,1,4,SECEX12_X375FOB12,2007-04-01T00:00:00-03:00,16909360.0
2007-05-01,2007,1,5,SECEX12_X375FOB12,2007-05-01T00:00:00-03:00,29517891.0
2007-06-01,2007,1,6,SECEX12_X375FOB12,2007-06-01T00:00:00-03:00,16360624.0
2007-07-01,2007,1,7,SECEX12_X375FOB12,2007-07-01T00:00:00-03:00,21764374.0
2007-08-01,2007,1,8,SECEX12_X375FOB12,2007-08-01T00:00:00-03:00,16571014.0
2007-09-01,2007,1,9,SECEX12_X375FOB12,2007-09-01T00:00:00-03:00,22788303.0
2007-10-01,2007,1,10,SECEX12_X375FOB12,2007-10-01T00:00:00-03:00,39120546.0
