DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_XBENCAPNTIGCE12,1997-01-01T00:00:00-02:00,146.562694
1997-02-01,1997,1,2,SECEX12_XBENCAPNTIGCE12,1997-02-01T00:00:00-02:00,170.603056
1997-03-01,1997,1,3,SECEX12_XBENCAPNTIGCE12,1997-03-01T00:00:00-03:00,203.85457
1997-04-01,1997,1,4,SECEX12_XBENCAPNTIGCE12,1997-04-01T00:00:00-03:00,209.219884
1997-05-01,1997,1,5,SECEX12_XBENCAPNTIGCE12,1997-05-01T00:00:00-03:00,215.3714
1997-06-01,1997,1,6,SECEX12_XBENCAPNTIGCE12,1997-06-01T00:00:00-03:00,183.910559
1997-07-01,1997,1,7,SECEX12_XBENCAPNTIGCE12,1997-07-01T00:00:00-03:00,225.19112
1997-08-01,1997,1,8,SECEX12_XBENCAPNTIGCE12,1997-08-01T00:00:00-03:00,388.933488
1997-09-01,1997,1,9,SECEX12_XBENCAPNTIGCE12,1997-09-01T00:00:00-03:00,244.823982
1997-10-01,1997,1,10,SECEX12_XBENCAPNTIGCE12,1997-10-01T00:00:00-03:00,244.829742
1997-11-01,1997,1,11,SECEX12_XBENCAPNTIGCE12,1997-11-01T00:00:00-03:00,233.009732
1997-12-01,1997,1,12,SECEX12_XBENCAPNTIGCE12,1997-12-01T00:00:00-02:00,283.479585
1998-01-01,1998,1,1,SECEX12_XBENCAPNTIGCE12,1998-01-01T00:00:00-02:00,155.467963
1998-02-01,1998,1,2,SECEX12_XBENCAPNTIGCE12,1998-02-01T00:00:00-02:00,196.989331
1998-03-01,1998,1,3,SECEX12_XBENCAPNTIGCE12,1998-03-01T00:00:00-03:00,242.018097
1998-04-01,1998,1,4,SECEX12_XBENCAPNTIGCE12,1998-04-01T00:00:00-03:00,198.339968
1998-05-01,1998,1,5,SECEX12_XBENCAPNTIGCE12,1998-05-01T00:00:00-03:00,209.147448
1998-06-01,1998,1,6,SECEX12_XBENCAPNTIGCE12,1998-06-01T00:00:00-03:00,205.497819
1998-07-01,1998,1,7,SECEX12_XBENCAPNTIGCE12,1998-07-01T00:00:00-03:00,197.377739
1998-08-01,1998,1,8,SECEX12_XBENCAPNTIGCE12,1998-08-01T00:00:00-03:00,174.017042
1998-09-01,1998,1,9,SECEX12_XBENCAPNTIGCE12,1998-09-01T00:00:00-03:00,187.428634
1998-10-01,1998,1,10,SECEX12_XBENCAPNTIGCE12,1998-10-01T00:00:00-03:00,187.646356
1998-11-01,1998,1,11,SECEX12_XBENCAPNTIGCE12,1998-11-01T00:00:00-03:00,178.413754
1998-12-01,1998,1,12,SECEX12_XBENCAPNTIGCE12,1998-12-01T00:00:00-02:00,243.190574
1999-01-01,1999,1,1,SECEX12_XBENCAPNTIGCE12,1999-01-01T00:00:00-02:00,127.560757
1999-02-01,1999,1,2,SECEX12_XBENCAPNTIGCE12,1999-02-01T00:00:00-02:00,144.922569
1999-03-01,1999,1,3,SECEX12_XBENCAPNTIGCE12,1999-03-01T00:00:00-03:00,195.015951
1999-04-01,1999,1,4,SECEX12_XBENCAPNTIGCE12,1999-04-01T00:00:00-03:00,143.997163
1999-05-01,1999,1,5,SECEX12_XBENCAPNTIGCE12,1999-05-01T00:00:00-03:00,199.941787
1999-06-01,1999,1,6,SECEX12_XBENCAPNTIGCE12,1999-06-01T00:00:00-03:00,228.943694
1999-07-01,1999,1,7,SECEX12_XBENCAPNTIGCE12,1999-07-01T00:00:00-03:00,179.032644
1999-08-01,1999,1,8,SECEX12_XBENCAPNTIGCE12,1999-08-01T00:00:00-03:00,175.749577
1999-09-01,1999,1,9,SECEX12_XBENCAPNTIGCE12,1999-09-01T00:00:00-03:00,173.588514
1999-10-01,1999,1,10,SECEX12_XBENCAPNTIGCE12,1999-10-01T00:00:00-03:00,174.498577
1999-11-01,1999,1,11,SECEX12_XBENCAPNTIGCE12,1999-11-01T00:00:00-03:00,164.56126
1999-12-01,1999,1,12,SECEX12_XBENCAPNTIGCE12,1999-12-01T00:00:00-02:00,257.045444
2000-01-01,2000,1,1,SECEX12_XBENCAPNTIGCE12,2000-01-01T00:00:00-02:00,133.412389
2000-02-01,2000,1,2,SECEX12_XBENCAPNTIGCE12,2000-02-01T00:00:00-02:00,175.92098
2000-03-01,2000,1,3,SECEX12_XBENCAPNTIGCE12,2000-03-01T00:00:00-03:00,202.252581
2000-04-01,2000,1,4,SECEX12_XBENCAPNTIGCE12,2000-04-01T00:00:00-03:00,163.22734
2000-05-01,2000,1,5,SECEX12_XBENCAPNTIGCE12,2000-05-01T00:00:00-03:00,210.36942
2000-06-01,2000,1,6,SECEX12_XBENCAPNTIGCE12,2000-06-01T00:00:00-03:00,220.696796
2000-07-01,2000,1,7,SECEX12_XBENCAPNTIGCE12,2000-07-01T00:00:00-03:00,199.426335
2000-08-01,2000,1,8,SECEX12_XBENCAPNTIGCE12,2000-08-01T00:00:00-03:00,228.156058
