DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_XBENCAPTIGCE12,1997-01-01T00:00:00-02:00,165.072901
1997-02-01,1997,1,2,SECEX12_XBENCAPTIGCE12,1997-02-01T00:00:00-02:00,100.041416
1997-03-01,1997,1,3,SECEX12_XBENCAPTIGCE12,1997-03-01T00:00:00-03:00,69.610377
1997-04-01,1997,1,4,SECEX12_XBENCAPTIGCE12,1997-04-01T00:00:00-03:00,137.263246
1997-05-01,1997,1,5,SECEX12_XBENCAPTIGCE12,1997-05-01T00:00:00-03:00,137.579417
1997-06-01,1997,1,6,SECEX12_XBENCAPTIGCE12,1997-06-01T00:00:00-03:00,174.563476
1997-07-01,1997,1,7,SECEX12_XBENCAPTIGCE12,1997-07-01T00:00:00-03:00,147.628257
1997-08-01,1997,1,8,SECEX12_XBENCAPTIGCE12,1997-08-01T00:00:00-03:00,179.854356
1997-09-01,1997,1,9,SECEX12_XBENCAPTIGCE12,1997-09-01T00:00:00-03:00,135.051321
1997-10-01,1997,1,10,SECEX12_XBENCAPTIGCE12,1997-10-01T00:00:00-03:00,212.535559
1997-11-01,1997,1,11,SECEX12_XBENCAPTIGCE12,1997-11-01T00:00:00-03:00,184.416931
1997-12-01,1997,1,12,SECEX12_XBENCAPTIGCE12,1997-12-01T00:00:00-02:00,225.510991
1998-01-01,1998,1,1,SECEX12_XBENCAPTIGCE12,1998-01-01T00:00:00-02:00,124.264546
1998-02-01,1998,1,2,SECEX12_XBENCAPTIGCE12,1998-02-01T00:00:00-02:00,201.424875
1998-03-01,1998,1,3,SECEX12_XBENCAPTIGCE12,1998-03-01T00:00:00-03:00,185.951594
1998-04-01,1998,1,4,SECEX12_XBENCAPTIGCE12,1998-04-01T00:00:00-03:00,221.743235
1998-05-01,1998,1,5,SECEX12_XBENCAPTIGCE12,1998-05-01T00:00:00-03:00,282.75114
1998-06-01,1998,1,6,SECEX12_XBENCAPTIGCE12,1998-06-01T00:00:00-03:00,243.883587
1998-07-01,1998,1,7,SECEX12_XBENCAPTIGCE12,1998-07-01T00:00:00-03:00,303.81036
1998-08-01,1998,1,8,SECEX12_XBENCAPTIGCE12,1998-08-01T00:00:00-03:00,188.77951
1998-09-01,1998,1,9,SECEX12_XBENCAPTIGCE12,1998-09-01T00:00:00-03:00,205.865149
1998-10-01,1998,1,10,SECEX12_XBENCAPTIGCE12,1998-10-01T00:00:00-03:00,212.528236
1998-11-01,1998,1,11,SECEX12_XBENCAPTIGCE12,1998-11-01T00:00:00-03:00,274.162841
1998-12-01,1998,1,12,SECEX12_XBENCAPTIGCE12,1998-12-01T00:00:00-02:00,212.338717
1999-01-01,1999,1,1,SECEX12_XBENCAPTIGCE12,1999-01-01T00:00:00-02:00,160.265555
1999-02-01,1999,1,2,SECEX12_XBENCAPTIGCE12,1999-02-01T00:00:00-02:00,168.878198
1999-03-01,1999,1,3,SECEX12_XBENCAPTIGCE12,1999-03-01T00:00:00-03:00,189.982815
1999-04-01,1999,1,4,SECEX12_XBENCAPTIGCE12,1999-04-01T00:00:00-03:00,273.397305
1999-05-01,1999,1,5,SECEX12_XBENCAPTIGCE12,1999-05-01T00:00:00-03:00,194.478302
1999-06-01,1999,1,6,SECEX12_XBENCAPTIGCE12,1999-06-01T00:00:00-03:00,260.194202
1999-07-01,1999,1,7,SECEX12_XBENCAPTIGCE12,1999-07-01T00:00:00-03:00,218.073502
1999-08-01,1999,1,8,SECEX12_XBENCAPTIGCE12,1999-08-01T00:00:00-03:00,254.433592
1999-09-01,1999,1,9,SECEX12_XBENCAPTIGCE12,1999-09-01T00:00:00-03:00,253.33871
1999-10-01,1999,1,10,SECEX12_XBENCAPTIGCE12,1999-10-01T00:00:00-03:00,259.1036
1999-11-01,1999,1,11,SECEX12_XBENCAPTIGCE12,1999-11-01T00:00:00-03:00,228.127233
1999-12-01,1999,1,12,SECEX12_XBENCAPTIGCE12,1999-12-01T00:00:00-02:00,200.818015
