DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_XBENCONGCE12,1997-01-01T00:00:00-02:00,721.107573
1997-02-01,1997,1,2,SECEX12_XBENCONGCE12,1997-02-01T00:00:00-02:00,662.533333
1997-03-01,1997,1,3,SECEX12_XBENCONGCE12,1997-03-01T00:00:00-03:00,690.083279
1997-04-01,1997,1,4,SECEX12_XBENCONGCE12,1997-04-01T00:00:00-03:00,778.521293
1997-05-01,1997,1,5,SECEX12_XBENCONGCE12,1997-05-01T00:00:00-03:00,738.106378
1997-06-01,1997,1,6,SECEX12_XBENCONGCE12,1997-06-01T00:00:00-03:00,873.843136
1997-07-01,1997,1,7,SECEX12_XBENCONGCE12,1997-07-01T00:00:00-03:00,960.831175
1997-08-01,1997,1,8,SECEX12_XBENCONGCE12,1997-08-01T00:00:00-03:00,943.73575
1997-09-01,1997,1,9,SECEX12_XBENCONGCE12,1997-09-01T00:00:00-03:00,931.82206
1997-10-01,1997,1,10,SECEX12_XBENCONGCE12,1997-10-01T00:00:00-03:00,1075.719631
1997-11-01,1997,1,11,SECEX12_XBENCONGCE12,1997-11-01T00:00:00-03:00,894.508285
1997-12-01,1997,1,12,SECEX12_XBENCONGCE12,1997-12-01T00:00:00-02:00,1013.251104
1998-01-01,1998,1,1,SECEX12_XBENCONGCE12,1998-01-01T00:00:00-02:00,753.581331
1998-02-01,1998,1,2,SECEX12_XBENCONGCE12,1998-02-01T00:00:00-02:00,876.671073
1998-03-01,1998,1,3,SECEX12_XBENCONGCE12,1998-03-01T00:00:00-03:00,933.046529
1998-04-01,1998,1,4,SECEX12_XBENCONGCE12,1998-04-01T00:00:00-03:00,849.979787
1998-05-01,1998,1,5,SECEX12_XBENCONGCE12,1998-05-01T00:00:00-03:00,815.65497
1998-06-01,1998,1,6,SECEX12_XBENCONGCE12,1998-06-01T00:00:00-03:00,989.717405
1998-07-01,1998,1,7,SECEX12_XBENCONGCE12,1998-07-01T00:00:00-03:00,972.13854
1998-08-01,1998,1,8,SECEX12_XBENCONGCE12,1998-08-01T00:00:00-03:00,865.859504
1998-09-01,1998,1,9,SECEX12_XBENCONGCE12,1998-09-01T00:00:00-03:00,950.672781
1998-10-01,1998,1,10,SECEX12_XBENCONGCE12,1998-10-01T00:00:00-03:00,831.156936
1998-11-01,1998,1,11,SECEX12_XBENCONGCE12,1998-11-01T00:00:00-03:00,839.374285
1998-12-01,1998,1,12,SECEX12_XBENCONGCE12,1998-12-01T00:00:00-02:00,881.178254
1999-01-01,1999,1,1,SECEX12_XBENCONGCE12,1999-01-01T00:00:00-02:00,576.122147
1999-02-01,1999,1,2,SECEX12_XBENCONGCE12,1999-02-01T00:00:00-02:00,682.119112
1999-03-01,1999,1,3,SECEX12_XBENCONGCE12,1999-03-01T00:00:00-03:00,798.233435
1999-04-01,1999,1,4,SECEX12_XBENCONGCE12,1999-04-01T00:00:00-03:00,775.730298
1999-05-01,1999,1,5,SECEX12_XBENCONGCE12,1999-05-01T00:00:00-03:00,834.148321
1999-06-01,1999,1,6,SECEX12_XBENCONGCE12,1999-06-01T00:00:00-03:00,858.635673
1999-07-01,1999,1,7,SECEX12_XBENCONGCE12,1999-07-01T00:00:00-03:00,809.667143
1999-08-01,1999,1,8,SECEX12_XBENCONGCE12,1999-08-01T00:00:00-03:00,925.899029
1999-09-01,1999,1,9,SECEX12_XBENCONGCE12,1999-09-01T00:00:00-03:00,920.822536
1999-10-01,1999,1,10,SECEX12_XBENCONGCE12,1999-10-01T00:00:00-03:00,965.099819
1999-11-01,1999,1,11,SECEX12_XBENCONGCE12,1999-11-01T00:00:00-03:00,856.874869
1999-12-01,1999,1,12,SECEX12_XBENCONGCE12,1999-12-01T00:00:00-02:00,1033.404076
2000-01-01,2000,1,1,SECEX12_XBENCONGCE12,2000-01-01T00:00:00-02:00,736.758108
2000-02-01,2000,1,2,SECEX12_XBENCONGCE12,2000-02-01T00:00:00-02:00,891.53159
2000-03-01,2000,1,3,SECEX12_XBENCONGCE12,2000-03-01T00:00:00-03:00,914.007036
2000-04-01,2000,1,4,SECEX12_XBENCONGCE12,2000-04-01T00:00:00-03:00,867.519567
2000-05-01,2000,1,5,SECEX12_XBENCONGCE12,2000-05-01T00:00:00-03:00,932.65733
2000-06-01,2000,1,6,SECEX12_XBENCONGCE12,2000-06-01T00:00:00-03:00,1027.235903
2000-07-01,2000,1,7,SECEX12_XBENCONGCE12,2000-07-01T00:00:00-03:00,1039.596455
2000-08-01,2000,1,8,SECEX12_XBENCONGCE12,2000-08-01T00:00:00-03:00,1148.291289
2000-09-01,2000,1,9,SECEX12_XBENCONGCE12,2000-09-01T00:00:00-03:00,1009.063253
2000-10-01,2000,1,10,SECEX12_XBENCONGCE12,2000-10-01T00:00:00-03:00,1069.367437
2000-11-01,2000,1,11,SECEX12_XBENCONGCE12,2000-11-01T00:00:00-03:00,971.249841
