DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_XCOBLUBEGCE12,1997-01-01T00:00:00-02:00,83.478484
1997-02-01,1997,1,2,SECEX12_XCOBLUBEGCE12,1997-02-01T00:00:00-02:00,81.500784
1997-03-01,1997,1,3,SECEX12_XCOBLUBEGCE12,1997-03-01T00:00:00-03:00,66.173497
1997-04-01,1997,1,4,SECEX12_XCOBLUBEGCE12,1997-04-01T00:00:00-03:00,74.33741
1997-05-01,1997,1,5,SECEX12_XCOBLUBEGCE12,1997-05-01T00:00:00-03:00,70.769141
1997-06-01,1997,1,6,SECEX12_XCOBLUBEGCE12,1997-06-01T00:00:00-03:00,85.192629
1997-07-01,1997,1,7,SECEX12_XCOBLUBEGCE12,1997-07-01T00:00:00-03:00,98.389601
1997-08-01,1997,1,8,SECEX12_XCOBLUBEGCE12,1997-08-01T00:00:00-03:00,114.03763
1997-09-01,1997,1,9,SECEX12_XCOBLUBEGCE12,1997-09-01T00:00:00-03:00,98.570268
1997-10-01,1997,1,10,SECEX12_XCOBLUBEGCE12,1997-10-01T00:00:00-03:00,90.124348
1997-11-01,1997,1,11,SECEX12_XCOBLUBEGCE12,1997-11-01T00:00:00-03:00,68.085515
1997-12-01,1997,1,12,SECEX12_XCOBLUBEGCE12,1997-12-01T00:00:00-02:00,92.842093
1998-01-01,1998,1,1,SECEX12_XCOBLUBEGCE12,1998-01-01T00:00:00-02:00,82.508374
1998-02-01,1998,1,2,SECEX12_XCOBLUBEGCE12,1998-02-01T00:00:00-02:00,42.197181
1998-03-01,1998,1,3,SECEX12_XCOBLUBEGCE12,1998-03-01T00:00:00-03:00,59.411951
1998-04-01,1998,1,4,SECEX12_XCOBLUBEGCE12,1998-04-01T00:00:00-03:00,79.509616
1998-05-01,1998,1,5,SECEX12_XCOBLUBEGCE12,1998-05-01T00:00:00-03:00,77.299157
1998-06-01,1998,1,6,SECEX12_XCOBLUBEGCE12,1998-06-01T00:00:00-03:00,81.441529
1998-07-01,1998,1,7,SECEX12_XCOBLUBEGCE12,1998-07-01T00:00:00-03:00,104.707155
1998-08-01,1998,1,8,SECEX12_XCOBLUBEGCE12,1998-08-01T00:00:00-03:00,49.318222
1998-09-01,1998,1,9,SECEX12_XCOBLUBEGCE12,1998-09-01T00:00:00-03:00,96.382365
1998-10-01,1998,1,10,SECEX12_XCOBLUBEGCE12,1998-10-01T00:00:00-03:00,75.605969
1998-11-01,1998,1,11,SECEX12_XCOBLUBEGCE12,1998-11-01T00:00:00-03:00,85.637023
1998-12-01,1998,1,12,SECEX12_XCOBLUBEGCE12,1998-12-01T00:00:00-02:00,51.037085
1999-01-01,1999,1,1,SECEX12_XCOBLUBEGCE12,1999-01-01T00:00:00-02:00,66.726172
1999-02-01,1999,1,2,SECEX12_XCOBLUBEGCE12,1999-02-01T00:00:00-02:00,34.320443
1999-03-01,1999,1,3,SECEX12_XCOBLUBEGCE12,1999-03-01T00:00:00-03:00,95.188445
1999-04-01,1999,1,4,SECEX12_XCOBLUBEGCE12,1999-04-01T00:00:00-03:00,78.208
1999-05-01,1999,1,5,SECEX12_XCOBLUBEGCE12,1999-05-01T00:00:00-03:00,107.438706
1999-06-01,1999,1,6,SECEX12_XCOBLUBEGCE12,1999-06-01T00:00:00-03:00,105.587005
1999-07-01,1999,1,7,SECEX12_XCOBLUBEGCE12,1999-07-01T00:00:00-03:00,135.098647
1999-08-01,1999,1,8,SECEX12_XCOBLUBEGCE12,1999-08-01T00:00:00-03:00,115.525603
1999-09-01,1999,1,9,SECEX12_XCOBLUBEGCE12,1999-09-01T00:00:00-03:00,91.512519
1999-10-01,1999,1,10,SECEX12_XCOBLUBEGCE12,1999-10-01T00:00:00-03:00,107.535286
1999-11-01,1999,1,11,SECEX12_XCOBLUBEGCE12,1999-11-01T00:00:00-03:00,106.414971
1999-12-01,1999,1,12,SECEX12_XCOBLUBEGCE12,1999-12-01T00:00:00-02:00,114.08006
2000-01-01,2000,1,1,SECEX12_XCOBLUBEGCE12,2000-01-01T00:00:00-02:00,103.596004
2000-02-01,2000,1,2,SECEX12_XCOBLUBEGCE12,2000-02-01T00:00:00-02:00,115.53983
2000-03-01,2000,1,3,SECEX12_XCOBLUBEGCE12,2000-03-01T00:00:00-03:00,123.419875
2000-04-01,2000,1,4,SECEX12_XCOBLUBEGCE12,2000-04-01T00:00:00-03:00,69.405094
2000-05-01,2000,1,5,SECEX12_XCOBLUBEGCE12,2000-05-01T00:00:00-03:00,178.34714
2000-06-01,2000,1,6,SECEX12_XCOBLUBEGCE12,2000-06-01T00:00:00-03:00,151.455851
2000-07-01,2000,1,7,SECEX12_XCOBLUBEGCE12,2000-07-01T00:00:00-03:00,219.768212
2000-08-01,2000,1,8,SECEX12_XCOBLUBEGCE12,2000-08-01T00:00:00-03:00,186.885522
2000-09-01,2000,1,9,SECEX12_XCOBLUBEGCE12,2000-09-01T00:00:00-03:00,175.762828
2000-10-01,2000,1,10,SECEX12_XCOBLUBEGCE12,2000-10-01T00:00:00-03:00,108.921651
2000-11-01,2000,1,11,SECEX12_XCOBLUBEGCE12,2000-11-01T00:00:00-03:00,103.856233
2000-12-01,2000,1,12,SECEX12_XCOBLUBEGCE12,2000-12-01T00:00:00-02:00,177.43835
2001-01-01,2001,1,1,SECEX12_XCOBLUBEGCE12,2001-01-01T00:00:00-02:00,336.742831
2001-02-01,2001,1,2,SECEX12_XCOBLUBEGCE12,2001-02-01T00:00:00-02:00,266.869513
2001-03-01,2001,1,3,SECEX12_XCOBLUBEGCE12,2001-03-01T00:00:00-03:00,216.019016
2001-04-01,2001,1,4,SECEX12_XCOBLUBEGCE12,2001-04-01T00:00:00-03:00,257.734656
2001-05-01,2001,1,5,SECEX12_XCOBLUBEGCE12,2001-05-01T00:00:00-03:00,212.840653
2001-06-01,2001,1,6,SECEX12_XCOBLUBEGCE12,2001-06-01T00:00:00-03:00,179.495201
2001-07-01,2001,1,7,SECEX12_XCOBLUBEGCE12,2001-07-01T00:00:00-03:00,166.48535
2001-08-01,2001,1,8,SECEX12_XCOBLUBEGCE12,2001-08-01T00:00:00-03:00,193.147699
2001-09-01,2001,1,9,SECEX12_XCOBLUBEGCE12,2001-09-01T00:00:00-03:00,177.676094
2001-10-01,2001,1,10,SECEX12_XCOBLUBEGCE12,2001-10-01T00:00:00-03:00,161.603294
2001-11-01,2001,1,11,SECEX12_XCOBLUBEGCE12,2001-11-01T00:00:00-03:00,179.928148
2001-12-01,2001,1,12,SECEX12_XCOBLUBEGCE12,2001-12-01T00:00:00-02:00,132.902114
