DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_XCOBLUBGCE12,1997-01-01T00:00:00-02:00,83.494444
1997-02-01,1997,1,2,SECEX12_XCOBLUBGCE12,1997-02-01T00:00:00-02:00,81.500784
1997-03-01,1997,1,3,SECEX12_XCOBLUBGCE12,1997-03-01T00:00:00-03:00,66.210371
1997-04-01,1997,1,4,SECEX12_XCOBLUBGCE12,1997-04-01T00:00:00-03:00,74.33741
1997-05-01,1997,1,5,SECEX12_XCOBLUBGCE12,1997-05-01T00:00:00-03:00,70.881041
1997-06-01,1997,1,6,SECEX12_XCOBLUBGCE12,1997-06-01T00:00:00-03:00,85.212467
1997-07-01,1997,1,7,SECEX12_XCOBLUBGCE12,1997-07-01T00:00:00-03:00,98.404444
1997-08-01,1997,1,8,SECEX12_XCOBLUBGCE12,1997-08-01T00:00:00-03:00,114.03786
1997-09-01,1997,1,9,SECEX12_XCOBLUBGCE12,1997-09-01T00:00:00-03:00,98.585453
1997-10-01,1997,1,10,SECEX12_XCOBLUBGCE12,1997-10-01T00:00:00-03:00,90.124348
1997-11-01,1997,1,11,SECEX12_XCOBLUBGCE12,1997-11-01T00:00:00-03:00,73.97594
1997-12-01,1997,1,12,SECEX12_XCOBLUBGCE12,1997-12-01T00:00:00-02:00,92.842093
1998-01-01,1998,1,1,SECEX12_XCOBLUBGCE12,1998-01-01T00:00:00-02:00,92.505186
1998-02-01,1998,1,2,SECEX12_XCOBLUBGCE12,1998-02-01T00:00:00-02:00,42.197181
1998-03-01,1998,1,3,SECEX12_XCOBLUBGCE12,1998-03-01T00:00:00-03:00,59.412477
1998-04-01,1998,1,4,SECEX12_XCOBLUBGCE12,1998-04-01T00:00:00-03:00,79.509616
1998-05-01,1998,1,5,SECEX12_XCOBLUBGCE12,1998-05-01T00:00:00-03:00,77.303079
1998-06-01,1998,1,6,SECEX12_XCOBLUBGCE12,1998-06-01T00:00:00-03:00,81.441529
1998-07-01,1998,1,7,SECEX12_XCOBLUBGCE12,1998-07-01T00:00:00-03:00,104.707155
1998-08-01,1998,1,8,SECEX12_XCOBLUBGCE12,1998-08-01T00:00:00-03:00,49.318731
1998-09-01,1998,1,9,SECEX12_XCOBLUBGCE12,1998-09-01T00:00:00-03:00,96.390605
1998-10-01,1998,1,10,SECEX12_XCOBLUBGCE12,1998-10-01T00:00:00-03:00,75.614044
1998-11-01,1998,1,11,SECEX12_XCOBLUBGCE12,1998-11-01T00:00:00-03:00,85.65129
1998-12-01,1998,1,12,SECEX12_XCOBLUBGCE12,1998-12-01T00:00:00-02:00,51.03966
1999-01-01,1999,1,1,SECEX12_XCOBLUBGCE12,1999-01-01T00:00:00-02:00,66.735115
1999-02-01,1999,1,2,SECEX12_XCOBLUBGCE12,1999-02-01T00:00:00-02:00,34.336923
1999-03-01,1999,1,3,SECEX12_XCOBLUBGCE12,1999-03-01T00:00:00-03:00,96.710908
1999-04-01,1999,1,4,SECEX12_XCOBLUBGCE12,1999-04-01T00:00:00-03:00,78.21884
1999-05-01,1999,1,5,SECEX12_XCOBLUBGCE12,1999-05-01T00:00:00-03:00,107.48795
1999-06-01,1999,1,6,SECEX12_XCOBLUBGCE12,1999-06-01T00:00:00-03:00,105.604335
1999-07-01,1999,1,7,SECEX12_XCOBLUBGCE12,1999-07-01T00:00:00-03:00,135.106887
1999-08-01,1999,1,8,SECEX12_XCOBLUBGCE12,1999-08-01T00:00:00-03:00,115.533843
1999-09-01,1999,1,9,SECEX12_XCOBLUBGCE12,1999-09-01T00:00:00-03:00,91.512519
1999-10-01,1999,1,10,SECEX12_XCOBLUBGCE12,1999-10-01T00:00:00-03:00,107.536156
1999-11-01,1999,1,11,SECEX12_XCOBLUBGCE12,1999-11-01T00:00:00-03:00,106.431461
1999-12-01,1999,1,12,SECEX12_XCOBLUBGCE12,1999-12-01T00:00:00-02:00,114.090794
