DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_XDURAVNTIGCE12,1997-01-01T00:00:00-02:00,58.174601
1997-02-01,1997,1,2,SECEX12_XDURAVNTIGCE12,1997-02-01T00:00:00-02:00,59.958854
1997-03-01,1997,1,3,SECEX12_XDURAVNTIGCE12,1997-03-01T00:00:00-03:00,69.470909
1997-04-01,1997,1,4,SECEX12_XDURAVNTIGCE12,1997-04-01T00:00:00-03:00,70.623654
1997-05-01,1997,1,5,SECEX12_XDURAVNTIGCE12,1997-05-01T00:00:00-03:00,61.212482
1997-06-01,1997,1,6,SECEX12_XDURAVNTIGCE12,1997-06-01T00:00:00-03:00,68.300334
1997-07-01,1997,1,7,SECEX12_XDURAVNTIGCE12,1997-07-01T00:00:00-03:00,72.745064
1997-08-01,1997,1,8,SECEX12_XDURAVNTIGCE12,1997-08-01T00:00:00-03:00,62.405171
1997-09-01,1997,1,9,SECEX12_XDURAVNTIGCE12,1997-09-01T00:00:00-03:00,72.25381
1997-10-01,1997,1,10,SECEX12_XDURAVNTIGCE12,1997-10-01T00:00:00-03:00,72.225989
1997-11-01,1997,1,11,SECEX12_XDURAVNTIGCE12,1997-11-01T00:00:00-03:00,67.393212
1997-12-01,1997,1,12,SECEX12_XDURAVNTIGCE12,1997-12-01T00:00:00-02:00,66.392066
1998-01-01,1998,1,1,SECEX12_XDURAVNTIGCE12,1998-01-01T00:00:00-02:00,43.357906
1998-02-01,1998,1,2,SECEX12_XDURAVNTIGCE12,1998-02-01T00:00:00-02:00,50.317179
1998-03-01,1998,1,3,SECEX12_XDURAVNTIGCE12,1998-03-01T00:00:00-03:00,68.245552
1998-04-01,1998,1,4,SECEX12_XDURAVNTIGCE12,1998-04-01T00:00:00-03:00,56.089661
1998-05-01,1998,1,5,SECEX12_XDURAVNTIGCE12,1998-05-01T00:00:00-03:00,66.728959
1998-06-01,1998,1,6,SECEX12_XDURAVNTIGCE12,1998-06-01T00:00:00-03:00,71.730509
1998-07-01,1998,1,7,SECEX12_XDURAVNTIGCE12,1998-07-01T00:00:00-03:00,61.780778
1998-08-01,1998,1,8,SECEX12_XDURAVNTIGCE12,1998-08-01T00:00:00-03:00,52.980142
1998-09-01,1998,1,9,SECEX12_XDURAVNTIGCE12,1998-09-01T00:00:00-03:00,55.832916
1998-10-01,1998,1,10,SECEX12_XDURAVNTIGCE12,1998-10-01T00:00:00-03:00,59.621495
1998-11-01,1998,1,11,SECEX12_XDURAVNTIGCE12,1998-11-01T00:00:00-03:00,57.624242
1998-12-01,1998,1,12,SECEX12_XDURAVNTIGCE12,1998-12-01T00:00:00-02:00,60.503868
1999-01-01,1999,1,1,SECEX12_XDURAVNTIGCE12,1999-01-01T00:00:00-02:00,43.872086
1999-02-01,1999,1,2,SECEX12_XDURAVNTIGCE12,1999-02-01T00:00:00-02:00,51.811489
1999-03-01,1999,1,3,SECEX12_XDURAVNTIGCE12,1999-03-01T00:00:00-03:00,65.999741
1999-04-01,1999,1,4,SECEX12_XDURAVNTIGCE12,1999-04-01T00:00:00-03:00,62.50353
1999-05-01,1999,1,5,SECEX12_XDURAVNTIGCE12,1999-05-01T00:00:00-03:00,75.857241
1999-06-01,1999,1,6,SECEX12_XDURAVNTIGCE12,1999-06-01T00:00:00-03:00,66.833961
1999-07-01,1999,1,7,SECEX12_XDURAVNTIGCE12,1999-07-01T00:00:00-03:00,71.338285
