DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_XDURAVTIGCE12,1997-01-01T00:00:00-02:00,1.305186
1997-02-01,1997,1,2,SECEX12_XDURAVTIGCE12,1997-02-01T00:00:00-02:00,0.577342
1997-03-01,1997,1,3,SECEX12_XDURAVTIGCE12,1997-03-01T00:00:00-03:00,1.090714
1997-04-01,1997,1,4,SECEX12_XDURAVTIGCE12,1997-04-01T00:00:00-03:00,1.632987
1997-05-01,1997,1,5,SECEX12_XDURAVTIGCE12,1997-05-01T00:00:00-03:00,1.529647
1997-06-01,1997,1,6,SECEX12_XDURAVTIGCE12,1997-06-01T00:00:00-03:00,2.146675
1997-07-01,1997,1,7,SECEX12_XDURAVTIGCE12,1997-07-01T00:00:00-03:00,2.91037
1997-08-01,1997,1,8,SECEX12_XDURAVTIGCE12,1997-08-01T00:00:00-03:00,2.167073
1997-09-01,1997,1,9,SECEX12_XDURAVTIGCE12,1997-09-01T00:00:00-03:00,4.524661
1997-10-01,1997,1,10,SECEX12_XDURAVTIGCE12,1997-10-01T00:00:00-03:00,4.527745
1997-11-01,1997,1,11,SECEX12_XDURAVTIGCE12,1997-11-01T00:00:00-03:00,2.353634
1997-12-01,1997,1,12,SECEX12_XDURAVTIGCE12,1997-12-01T00:00:00-02:00,4.92444
1998-01-01,1998,1,1,SECEX12_XDURAVTIGCE12,1998-01-01T00:00:00-02:00,0.4395
1998-02-01,1998,1,2,SECEX12_XDURAVTIGCE12,1998-02-01T00:00:00-02:00,4.234737
1998-03-01,1998,1,3,SECEX12_XDURAVTIGCE12,1998-03-01T00:00:00-03:00,3.366009
1998-04-01,1998,1,4,SECEX12_XDURAVTIGCE12,1998-04-01T00:00:00-03:00,1.545127
1998-05-01,1998,1,5,SECEX12_XDURAVTIGCE12,1998-05-01T00:00:00-03:00,2.793375
1998-06-01,1998,1,6,SECEX12_XDURAVTIGCE12,1998-06-01T00:00:00-03:00,0.982914
1998-07-01,1998,1,7,SECEX12_XDURAVTIGCE12,1998-07-01T00:00:00-03:00,4.061483
1998-08-01,1998,1,8,SECEX12_XDURAVTIGCE12,1998-08-01T00:00:00-03:00,2.93442
1998-09-01,1998,1,9,SECEX12_XDURAVTIGCE12,1998-09-01T00:00:00-03:00,3.055752
1998-10-01,1998,1,10,SECEX12_XDURAVTIGCE12,1998-10-01T00:00:00-03:00,5.776763
1998-11-01,1998,1,11,SECEX12_XDURAVTIGCE12,1998-11-01T00:00:00-03:00,2.047826
1998-12-01,1998,1,12,SECEX12_XDURAVTIGCE12,1998-12-01T00:00:00-02:00,3.488366
1999-01-01,1999,1,1,SECEX12_XDURAVTIGCE12,1999-01-01T00:00:00-02:00,3.75373
1999-02-01,1999,1,2,SECEX12_XDURAVTIGCE12,1999-02-01T00:00:00-02:00,0.859643
1999-03-01,1999,1,3,SECEX12_XDURAVTIGCE12,1999-03-01T00:00:00-03:00,3.810399
1999-04-01,1999,1,4,SECEX12_XDURAVTIGCE12,1999-04-01T00:00:00-03:00,3.418649
1999-05-01,1999,1,5,SECEX12_XDURAVTIGCE12,1999-05-01T00:00:00-03:00,2.852269
1999-06-01,1999,1,6,SECEX12_XDURAVTIGCE12,1999-06-01T00:00:00-03:00,3.512901
1999-07-01,1999,1,7,SECEX12_XDURAVTIGCE12,1999-07-01T00:00:00-03:00,1.129196
1999-08-01,1999,1,8,SECEX12_XDURAVTIGCE12,1999-08-01T00:00:00-03:00,3.77845
1999-09-01,1999,1,9,SECEX12_XDURAVTIGCE12,1999-09-01T00:00:00-03:00,4.582111
1999-10-01,1999,1,10,SECEX12_XDURAVTIGCE12,1999-10-01T00:00:00-03:00,5.703814
1999-11-01,1999,1,11,SECEX12_XDURAVTIGCE12,1999-11-01T00:00:00-03:00,3.776256
1999-12-01,1999,1,12,SECEX12_XDURAVTIGCE12,1999-12-01T00:00:00-02:00,4.615508
2000-01-01,2000,1,1,SECEX12_XDURAVTIGCE12,2000-01-01T00:00:00-02:00,3.457866
2000-02-01,2000,1,2,SECEX12_XDURAVTIGCE12,2000-02-01T00:00:00-02:00,2.308189
2000-03-01,2000,1,3,SECEX12_XDURAVTIGCE12,2000-03-01T00:00:00-03:00,5.619292
2000-04-01,2000,1,4,SECEX12_XDURAVTIGCE12,2000-04-01T00:00:00-03:00,6.7028
2000-05-01,2000,1,5,SECEX12_XDURAVTIGCE12,2000-05-01T00:00:00-03:00,4.74544
2000-06-01,2000,1,6,SECEX12_XDURAVTIGCE12,2000-06-01T00:00:00-03:00,4.881933
2000-07-01,2000,1,7,SECEX12_XDURAVTIGCE12,2000-07-01T00:00:00-03:00,8.127779
2000-08-01,2000,1,8,SECEX12_XDURAVTIGCE12,2000-08-01T00:00:00-03:00,6.127088
2000-09-01,2000,1,9,SECEX12_XDURAVTIGCE12,2000-09-01T00:00:00-03:00,4.703413
2000-10-01,2000,1,10,SECEX12_XDURAVTIGCE12,2000-10-01T00:00:00-03:00,10.86584
2000-11-01,2000,1,11,SECEX12_XDURAVTIGCE12,2000-11-01T00:00:00-03:00,5.861985
2000-12-01,2000,1,12,SECEX12_XDURAVTIGCE12,2000-12-01T00:00:00-02:00,10.109276
2001-01-01,2001,1,1,SECEX12_XDURAVTIGCE12,2001-01-01T00:00:00-02:00,3.197946
2001-02-01,2001,1,2,SECEX12_XDURAVTIGCE12,2001-02-01T00:00:00-02:00,6.283376
2001-03-01,2001,1,3,SECEX12_XDURAVTIGCE12,2001-03-01T00:00:00-03:00,6.054896
2001-04-01,2001,1,4,SECEX12_XDURAVTIGCE12,2001-04-01T00:00:00-03:00,8.254643
2001-05-01,2001,1,5,SECEX12_XDURAVTIGCE12,2001-05-01T00:00:00-03:00,6.33239
2001-06-01,2001,1,6,SECEX12_XDURAVTIGCE12,2001-06-01T00:00:00-03:00,5.152097
2001-07-01,2001,1,7,SECEX12_XDURAVTIGCE12,2001-07-01T00:00:00-03:00,6.036134
2001-08-01,2001,1,8,SECEX12_XDURAVTIGCE12,2001-08-01T00:00:00-03:00,5.947666
2001-09-01,2001,1,9,SECEX12_XDURAVTIGCE12,2001-09-01T00:00:00-03:00,7.496804
2001-10-01,2001,1,10,SECEX12_XDURAVTIGCE12,2001-10-01T00:00:00-03:00,5.517653
2001-11-01,2001,1,11,SECEX12_XDURAVTIGCE12,2001-11-01T00:00:00-03:00,5.088226
2001-12-01,2001,1,12,SECEX12_XDURAVTIGCE12,2001-12-01T00:00:00-02:00,3.644199
2002-01-01,2002,1,1,SECEX12_XDURAVTIGCE12,2002-01-01T00:00:00-02:00,1.375941
2002-02-01,2002,1,2,SECEX12_XDURAVTIGCE12,2002-02-01T00:00:00-02:00,1.645107
2002-03-01,2002,1,3,SECEX12_XDURAVTIGCE12,2002-03-01T00:00:00-03:00,2.670171
2002-04-01,2002,1,4,SECEX12_XDURAVTIGCE12,2002-04-01T00:00:00-03:00,3.084492
2002-05-01,2002,1,5,SECEX12_XDURAVTIGCE12,2002-05-01T00:00:00-03:00,2.782789
2002-06-01,2002,1,6,SECEX12_XDURAVTIGCE12,2002-06-01T00:00:00-03:00,3.523933
2002-07-01,2002,1,7,SECEX12_XDURAVTIGCE12,2002-07-01T00:00:00-03:00,4.532821
2002-08-01,2002,1,8,SECEX12_XDURAVTIGCE12,2002-08-01T00:00:00-03:00,8.051051
2002-09-01,2002,1,9,SECEX12_XDURAVTIGCE12,2002-09-01T00:00:00-03:00,9.635527
2002-10-01,2002,1,10,SECEX12_XDURAVTIGCE12,2002-10-01T00:00:00-03:00,14.821762
2002-11-01,2002,1,11,SECEX12_XDURAVTIGCE12,2002-11-01T00:00:00-03:00,18.462273
2002-12-01,2002,1,12,SECEX12_XDURAVTIGCE12,2002-12-01T00:00:00-02:00,8.849947
2003-01-01,2003,1,1,SECEX12_XDURAVTIGCE12,2003-01-01T00:00:00-02:00,11.622281
2003-02-01,2003,1,2,SECEX12_XDURAVTIGCE12,2003-02-01T00:00:00-02:00,6.460579
2003-03-01,2003,1,3,SECEX12_XDURAVTIGCE12,2003-03-01T00:00:00-03:00,8.170415
2003-04-01,2003,1,4,SECEX12_XDURAVTIGCE12,2003-04-01T00:00:00-03:00,7.885037
2003-05-01,2003,1,5,SECEX12_XDURAVTIGCE12,2003-05-01T00:00:00-03:00,5.923738
2003-06-01,2003,1,6,SECEX12_XDURAVTIGCE12,2003-06-01T00:00:00-03:00,17.45877
2003-07-01,2003,1,7,SECEX12_XDURAVTIGCE12,2003-07-01T00:00:00-03:00,12.935216
2003-08-01,2003,1,8,SECEX12_XDURAVTIGCE12,2003-08-01T00:00:00-03:00,18.311675
2003-09-01,2003,1,9,SECEX12_XDURAVTIGCE12,2003-09-01T00:00:00-03:00,14.169289
