DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_XINTAEGCE12,1997-01-01T00:00:00-02:00,146.2158
1997-02-01,1997,1,2,SECEX12_XINTAEGCE12,1997-02-01T00:00:00-02:00,69.887489
1997-03-01,1997,1,3,SECEX12_XINTAEGCE12,1997-03-01T00:00:00-03:00,64.06479
1997-04-01,1997,1,4,SECEX12_XINTAEGCE12,1997-04-01T00:00:00-03:00,116.228558
1997-05-01,1997,1,5,SECEX12_XINTAEGCE12,1997-05-01T00:00:00-03:00,157.794349
1997-06-01,1997,1,6,SECEX12_XINTAEGCE12,1997-06-01T00:00:00-03:00,208.495524
1997-07-01,1997,1,7,SECEX12_XINTAEGCE12,1997-07-01T00:00:00-03:00,230.481156
1997-08-01,1997,1,8,SECEX12_XINTAEGCE12,1997-08-01T00:00:00-03:00,216.613453
1997-09-01,1997,1,9,SECEX12_XINTAEGCE12,1997-09-01T00:00:00-03:00,214.855283
1997-10-01,1997,1,10,SECEX12_XINTAEGCE12,1997-10-01T00:00:00-03:00,181.736812
1997-11-01,1997,1,11,SECEX12_XINTAEGCE12,1997-11-01T00:00:00-03:00,145.865308
1997-12-01,1997,1,12,SECEX12_XINTAEGCE12,1997-12-01T00:00:00-02:00,218.004561
1998-01-01,1998,1,1,SECEX12_XINTAEGCE12,1998-01-01T00:00:00-02:00,241.242243
1998-02-01,1998,1,2,SECEX12_XINTAEGCE12,1998-02-01T00:00:00-02:00,95.626569
1998-03-01,1998,1,3,SECEX12_XINTAEGCE12,1998-03-01T00:00:00-03:00,97.576119
1998-04-01,1998,1,4,SECEX12_XINTAEGCE12,1998-04-01T00:00:00-03:00,162.713046
1998-05-01,1998,1,5,SECEX12_XINTAEGCE12,1998-05-01T00:00:00-03:00,120.395878
1998-06-01,1998,1,6,SECEX12_XINTAEGCE12,1998-06-01T00:00:00-03:00,273.455413
1998-07-01,1998,1,7,SECEX12_XINTAEGCE12,1998-07-01T00:00:00-03:00,318.079749
1998-08-01,1998,1,8,SECEX12_XINTAEGCE12,1998-08-01T00:00:00-03:00,196.711305
1998-09-01,1998,1,9,SECEX12_XINTAEGCE12,1998-09-01T00:00:00-03:00,226.269772
1998-10-01,1998,1,10,SECEX12_XINTAEGCE12,1998-10-01T00:00:00-03:00,145.849283
1998-11-01,1998,1,11,SECEX12_XINTAEGCE12,1998-11-01T00:00:00-03:00,196.589796
1998-12-01,1998,1,12,SECEX12_XINTAEGCE12,1998-12-01T00:00:00-02:00,182.975613
1999-01-01,1999,1,1,SECEX12_XINTAEGCE12,1999-01-01T00:00:00-02:00,136.786552
1999-02-01,1999,1,2,SECEX12_XINTAEGCE12,1999-02-01T00:00:00-02:00,143.47224
1999-03-01,1999,1,3,SECEX12_XINTAEGCE12,1999-03-01T00:00:00-03:00,131.973352
1999-04-01,1999,1,4,SECEX12_XINTAEGCE12,1999-04-01T00:00:00-03:00,129.292398
1999-05-01,1999,1,5,SECEX12_XINTAEGCE12,1999-05-01T00:00:00-03:00,188.399652
1999-06-01,1999,1,6,SECEX12_XINTAEGCE12,1999-06-01T00:00:00-03:00,253.94033
1999-07-01,1999,1,7,SECEX12_XINTAEGCE12,1999-07-01T00:00:00-03:00,174.17436
1999-08-01,1999,1,8,SECEX12_XINTAEGCE12,1999-08-01T00:00:00-03:00,169.630709
1999-09-01,1999,1,9,SECEX12_XINTAEGCE12,1999-09-01T00:00:00-03:00,169.530114
1999-10-01,1999,1,10,SECEX12_XINTAEGCE12,1999-10-01T00:00:00-03:00,197.7282
1999-11-01,1999,1,11,SECEX12_XINTAEGCE12,1999-11-01T00:00:00-03:00,148.950818
1999-12-01,1999,1,12,SECEX12_XINTAEGCE12,1999-12-01T00:00:00-02:00,251.165086
2000-01-01,2000,1,1,SECEX12_XINTAEGCE12,2000-01-01T00:00:00-02:00,89.296567
2000-02-01,2000,1,2,SECEX12_XINTAEGCE12,2000-02-01T00:00:00-02:00,115.771708
2000-03-01,2000,1,3,SECEX12_XINTAEGCE12,2000-03-01T00:00:00-03:00,66.610201
2000-04-01,2000,1,4,SECEX12_XINTAEGCE12,2000-04-01T00:00:00-03:00,60.668551
2000-05-01,2000,1,5,SECEX12_XINTAEGCE12,2000-05-01T00:00:00-03:00,68.183921
2000-06-01,2000,1,6,SECEX12_XINTAEGCE12,2000-06-01T00:00:00-03:00,89.957382
2000-07-01,2000,1,7,SECEX12_XINTAEGCE12,2000-07-01T00:00:00-03:00,179.145261
2000-08-01,2000,1,8,SECEX12_XINTAEGCE12,2000-08-01T00:00:00-03:00,153.150472
2000-09-01,2000,1,9,SECEX12_XINTAEGCE12,2000-09-01T00:00:00-03:00,102.732739
2000-10-01,2000,1,10,SECEX12_XINTAEGCE12,2000-10-01T00:00:00-03:00,164.077393
2000-11-01,2000,1,11,SECEX12_XINTAEGCE12,2000-11-01T00:00:00-03:00,172.352572
2000-12-01,2000,1,12,SECEX12_XINTAEGCE12,2000-12-01T00:00:00-02:00,180.209605
2001-01-01,2001,1,1,SECEX12_XINTAEGCE12,2001-01-01T00:00:00-02:00,227.439817
2001-02-01,2001,1,2,SECEX12_XINTAEGCE12,2001-02-01T00:00:00-02:00,97.049811
2001-03-01,2001,1,3,SECEX12_XINTAEGCE12,2001-03-01T00:00:00-03:00,157.831606
2001-04-01,2001,1,4,SECEX12_XINTAEGCE12,2001-04-01T00:00:00-03:00,128.269054
2001-05-01,2001,1,5,SECEX12_XINTAEGCE12,2001-05-01T00:00:00-03:00,115.904045
2001-06-01,2001,1,6,SECEX12_XINTAEGCE12,2001-06-01T00:00:00-03:00,194.63405
2001-07-01,2001,1,7,SECEX12_XINTAEGCE12,2001-07-01T00:00:00-03:00,232.000836
2001-08-01,2001,1,8,SECEX12_XINTAEGCE12,2001-08-01T00:00:00-03:00,274.057037
2001-09-01,2001,1,9,SECEX12_XINTAEGCE12,2001-09-01T00:00:00-03:00,273.765023
2001-10-01,2001,1,10,SECEX12_XINTAEGCE12,2001-10-01T00:00:00-03:00,257.04965
2001-11-01,2001,1,11,SECEX12_XINTAEGCE12,2001-11-01T00:00:00-03:00,255.503305
2001-12-01,2001,1,12,SECEX12_XINTAEGCE12,2001-12-01T00:00:00-02:00,170.776417
2002-01-01,2002,1,1,SECEX12_XINTAEGCE12,2002-01-01T00:00:00-02:00,133.437121
2002-02-01,2002,1,2,SECEX12_XINTAEGCE12,2002-02-01T00:00:00-02:00,130.888621
2002-03-01,2002,1,3,SECEX12_XINTAEGCE12,2002-03-01T00:00:00-03:00,94.356334
2002-04-01,2002,1,4,SECEX12_XINTAEGCE12,2002-04-01T00:00:00-03:00,102.666272
2002-05-01,2002,1,5,SECEX12_XINTAEGCE12,2002-05-01T00:00:00-03:00,125.600874
2002-06-01,2002,1,6,SECEX12_XINTAEGCE12,2002-06-01T00:00:00-03:00,184.933476
2002-07-01,2002,1,7,SECEX12_XINTAEGCE12,2002-07-01T00:00:00-03:00,234.203468
2002-08-01,2002,1,8,SECEX12_XINTAEGCE12,2002-08-01T00:00:00-03:00,239.646049
2002-09-01,2002,1,9,SECEX12_XINTAEGCE12,2002-09-01T00:00:00-03:00,471.634852
2002-10-01,2002,1,10,SECEX12_XINTAEGCE12,2002-10-01T00:00:00-03:00,370.790154
2002-11-01,2002,1,11,SECEX12_XINTAEGCE12,2002-11-01T00:00:00-03:00,247.750538
2002-12-01,2002,1,12,SECEX12_XINTAEGCE12,2002-12-01T00:00:00-02:00,197.098086
2003-01-01,2003,1,1,SECEX12_XINTAEGCE12,2003-01-01T00:00:00-02:00,306.805306
2003-02-01,2003,1,2,SECEX12_XINTAEGCE12,2003-02-01T00:00:00-02:00,181.435744
2003-03-01,2003,1,3,SECEX12_XINTAEGCE12,2003-03-01T00:00:00-03:00,136.231094
2003-04-01,2003,1,4,SECEX12_XINTAEGCE12,2003-04-01T00:00:00-03:00,128.881779
2003-05-01,2003,1,5,SECEX12_XINTAEGCE12,2003-05-01T00:00:00-03:00,269.183132
2003-06-01,2003,1,6,SECEX12_XINTAEGCE12,2003-06-01T00:00:00-03:00,290.305121
2003-07-01,2003,1,7,SECEX12_XINTAEGCE12,2003-07-01T00:00:00-03:00,262.943272
