DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1997-01-01,1997,1,1,SECEX12_XINTINEGCE12,1997-01-01T00:00:00-02:00,1459.115824
1997-02-01,1997,1,2,SECEX12_XINTINEGCE12,1997-02-01T00:00:00-02:00,1150.18539
1997-03-01,1997,1,3,SECEX12_XINTINEGCE12,1997-03-01T00:00:00-03:00,1406.736066
1997-04-01,1997,1,4,SECEX12_XINTINEGCE12,1997-04-01T00:00:00-03:00,1669.04234
1997-05-01,1997,1,5,SECEX12_XINTINEGCE12,1997-05-01T00:00:00-03:00,1613.002604
1997-06-01,1997,1,6,SECEX12_XINTINEGCE12,1997-06-01T00:00:00-03:00,1643.167977
1997-07-01,1997,1,7,SECEX12_XINTINEGCE12,1997-07-01T00:00:00-03:00,1792.560393
1997-08-01,1997,1,8,SECEX12_XINTINEGCE12,1997-08-01T00:00:00-03:00,1736.403907
1997-09-01,1997,1,9,SECEX12_XINTINEGCE12,1997-09-01T00:00:00-03:00,1677.90401
1997-10-01,1997,1,10,SECEX12_XINTINEGCE12,1997-10-01T00:00:00-03:00,1662.076128
1997-11-01,1997,1,11,SECEX12_XINTINEGCE12,1997-11-01T00:00:00-03:00,1314.953497
1997-12-01,1997,1,12,SECEX12_XINTINEGCE12,1997-12-01T00:00:00-02:00,1570.608351
1998-01-01,1998,1,1,SECEX12_XINTINEGCE12,1998-01-01T00:00:00-02:00,1417.998896
1998-02-01,1998,1,2,SECEX12_XINTINEGCE12,1998-02-01T00:00:00-02:00,1268.841621
1998-03-01,1998,1,3,SECEX12_XINTINEGCE12,1998-03-01T00:00:00-03:00,1464.064124
1998-04-01,1998,1,4,SECEX12_XINTINEGCE12,1998-04-01T00:00:00-03:00,1486.433333
1998-05-01,1998,1,5,SECEX12_XINTINEGCE12,1998-05-01T00:00:00-03:00,1513.532691
1998-06-01,1998,1,6,SECEX12_XINTINEGCE12,1998-06-01T00:00:00-03:00,1503.260654
1998-07-01,1998,1,7,SECEX12_XINTINEGCE12,1998-07-01T00:00:00-03:00,1451.889024
1998-08-01,1998,1,8,SECEX12_XINTINEGCE12,1998-08-01T00:00:00-03:00,1160.009641
1998-09-01,1998,1,9,SECEX12_XINTINEGCE12,1998-09-01T00:00:00-03:00,1478.005868
1998-10-01,1998,1,10,SECEX12_XINTINEGCE12,1998-10-01T00:00:00-03:00,1364.267899
1998-11-01,1998,1,11,SECEX12_XINTINEGCE12,1998-11-01T00:00:00-03:00,1197.885509
1998-12-01,1998,1,12,SECEX12_XINTINEGCE12,1998-12-01T00:00:00-02:00,1270.907209
1999-01-01,1999,1,1,SECEX12_XINTINEGCE12,1999-01-01T00:00:00-02:00,1104.950672
1999-02-01,1999,1,2,SECEX12_XINTINEGCE12,1999-02-01T00:00:00-02:00,1166.595629
1999-03-01,1999,1,3,SECEX12_XINTINEGCE12,1999-03-01T00:00:00-03:00,1294.410547
1999-04-01,1999,1,4,SECEX12_XINTINEGCE12,1999-04-01T00:00:00-03:00,1161.939315
1999-05-01,1999,1,5,SECEX12_XINTINEGCE12,1999-05-01T00:00:00-03:00,1435.928543
1999-06-01,1999,1,6,SECEX12_XINTINEGCE12,1999-06-01T00:00:00-03:00,1337.477877
1999-07-01,1999,1,7,SECEX12_XINTINEGCE12,1999-07-01T00:00:00-03:00,1314.057411
1999-08-01,1999,1,8,SECEX12_XINTINEGCE12,1999-08-01T00:00:00-03:00,1347.887351
1999-09-01,1999,1,9,SECEX12_XINTINEGCE12,1999-09-01T00:00:00-03:00,1400.055174
