DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1977-01-01,1977,1,1,SECEX12_XVMANU12,1977-01-01T00:00:00-02:00,253.0
1977-02-01,1977,1,2,SECEX12_XVMANU12,1977-02-01T00:00:00-02:00,269.0
1977-03-01,1977,1,3,SECEX12_XVMANU12,1977-03-01T00:00:00-03:00,293.0
1977-04-01,1977,1,4,SECEX12_XVMANU12,1977-04-01T00:00:00-03:00,308.0
1977-05-01,1977,1,5,SECEX12_XVMANU12,1977-05-01T00:00:00-03:00,300.0
1977-06-01,1977,1,6,SECEX12_XVMANU12,1977-06-01T00:00:00-03:00,308.0
1977-07-01,1977,1,7,SECEX12_XVMANU12,1977-07-01T00:00:00-03:00,285.0
1977-08-01,1977,1,8,SECEX12_XVMANU12,1977-08-01T00:00:00-03:00,350.0
1977-09-01,1977,1,9,SECEX12_XVMANU12,1977-09-01T00:00:00-03:00,340.0
1977-10-01,1977,1,10,SECEX12_XVMANU12,1977-10-01T00:00:00-03:00,366.0
1977-11-01,1977,1,11,SECEX12_XVMANU12,1977-11-01T00:00:00-03:00,371.0
1977-12-01,1977,1,12,SECEX12_XVMANU12,1977-12-01T00:00:00-02:00,397.0
1978-01-01,1978,1,1,SECEX12_XVMANU12,1978-01-01T00:00:00-02:00,354.0
1978-02-01,1978,1,2,SECEX12_XVMANU12,1978-02-01T00:00:00-02:00,337.0
1978-03-01,1978,1,3,SECEX12_XVMANU12,1978-03-01T00:00:00-03:00,385.0
1978-04-01,1978,1,4,SECEX12_XVMANU12,1978-04-01T00:00:00-03:00,364.0
1978-05-01,1978,1,5,SECEX12_XVMANU12,1978-05-01T00:00:00-03:00,396.0
1978-06-01,1978,1,6,SECEX12_XVMANU12,1978-06-01T00:00:00-03:00,382.0
1978-07-01,1978,1,7,SECEX12_XVMANU12,1978-07-01T00:00:00-03:00,373.0
1978-08-01,1978,1,8,SECEX12_XVMANU12,1978-08-01T00:00:00-03:00,440.0
1978-09-01,1978,1,9,SECEX12_XVMANU12,1978-09-01T00:00:00-03:00,491.0
1978-10-01,1978,1,10,SECEX12_XVMANU12,1978-10-01T00:00:00-03:00,494.0
1978-11-01,1978,1,11,SECEX12_XVMANU12,1978-11-01T00:00:00-03:00,494.0
1978-12-01,1978,1,12,SECEX12_XVMANU12,1978-12-01T00:00:00-02:00,573.0
1979-01-01,1979,1,1,SECEX12_XVMANU12,1979-01-01T00:00:00-02:00,463.0
1979-02-01,1979,1,2,SECEX12_XVMANU12,1979-02-01T00:00:00-02:00,439.0
1979-03-01,1979,1,3,SECEX12_XVMANU12,1979-03-01T00:00:00-03:00,491.0
1979-04-01,1979,1,4,SECEX12_XVMANU12,1979-04-01T00:00:00-03:00,504.0
1979-05-01,1979,1,5,SECEX12_XVMANU12,1979-05-01T00:00:00-03:00,511.0
1979-06-01,1979,1,6,SECEX12_XVMANU12,1979-06-01T00:00:00-03:00,448.0
1979-07-01,1979,1,7,SECEX12_XVMANU12,1979-07-01T00:00:00-03:00,571.0
1979-08-01,1979,1,8,SECEX12_XVMANU12,1979-08-01T00:00:00-03:00,566.0
1979-09-01,1979,1,9,SECEX12_XVMANU12,1979-09-01T00:00:00-03:00,617.0
1979-10-01,1979,1,10,SECEX12_XVMANU12,1979-10-01T00:00:00-03:00,756.0
1979-11-01,1979,1,11,SECEX12_XVMANU12,1979-11-01T00:00:00-03:00,643.0
1979-12-01,1979,1,12,SECEX12_XVMANU12,1979-12-01T00:00:00-02:00,637.0
1980-01-01,1980,1,1,SECEX12_XVMANU12,1980-01-01T00:00:00-02:00,699.0
1980-02-01,1980,1,2,SECEX12_XVMANU12,1980-02-01T00:00:00-02:00,726.0
1980-03-01,1980,1,3,SECEX12_XVMANU12,1980-03-01T00:00:00-03:00,648.0
1980-04-01,1980,1,4,SECEX12_XVMANU12,1980-04-01T00:00:00-03:00,605.0
1980-05-01,1980,1,5,SECEX12_XVMANU12,1980-05-01T00:00:00-03:00,851.0
1980-06-01,1980,1,6,SECEX12_XVMANU12,1980-06-01T00:00:00-03:00,641.0
1980-07-01,1980,1,7,SECEX12_XVMANU12,1980-07-01T00:00:00-03:00,646.0
1980-08-01,1980,1,8,SECEX12_XVMANU12,1980-08-01T00:00:00-03:00,734.0
1980-09-01,1980,1,9,SECEX12_XVMANU12,1980-09-01T00:00:00-03:00,837.0
1980-10-01,1980,1,10,SECEX12_XVMANU12,1980-10-01T00:00:00-03:00,854.0
1980-11-01,1980,1,11,SECEX12_XVMANU12,1980-11-01T00:00:00-03:00,905.0
1980-12-01,1980,1,12,SECEX12_XVMANU12,1980-12-01T00:00:00-02:00,881.0
1981-01-01,1981,1,1,SECEX12_XVMANU12,1981-01-01T00:00:00-02:00,783.0
1981-02-01,1981,1,2,SECEX12_XVMANU12,1981-02-01T00:00:00-02:00,865.0
1981-03-01,1981,1,3,SECEX12_XVMANU12,1981-03-01T00:00:00-03:00,844.0
1981-04-01,1981,1,4,SECEX12_XVMANU12,1981-04-01T00:00:00-03:00,884.0
1981-05-01,1981,1,5,SECEX12_XVMANU12,1981-05-01T00:00:00-03:00,964.0
1981-06-01,1981,1,6,SECEX12_XVMANU12,1981-06-01T00:00:00-03:00,891.0
