DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1977-01-01,1977,1,1,SECEX12_XVTOT12,1977-01-01T00:00:00-02:00,885.0
1977-02-01,1977,1,2,SECEX12_XVTOT12,1977-02-01T00:00:00-02:00,853.0
1977-03-01,1977,1,3,SECEX12_XVTOT12,1977-03-01T00:00:00-03:00,950.0
1977-04-01,1977,1,4,SECEX12_XVTOT12,1977-04-01T00:00:00-03:00,1072.0
1977-05-01,1977,1,5,SECEX12_XVTOT12,1977-05-01T00:00:00-03:00,1218.0
1977-06-01,1977,1,6,SECEX12_XVTOT12,1977-06-01T00:00:00-03:00,1227.0
1977-07-01,1977,1,7,SECEX12_XVTOT12,1977-07-01T00:00:00-03:00,1020.0
1977-08-01,1977,1,8,SECEX12_XVTOT12,1977-08-01T00:00:00-03:00,1080.0
1977-09-01,1977,1,9,SECEX12_XVTOT12,1977-09-01T00:00:00-03:00,960.0
1977-10-01,1977,1,10,SECEX12_XVTOT12,1977-10-01T00:00:00-03:00,908.0
1977-11-01,1977,1,11,SECEX12_XVTOT12,1977-11-01T00:00:00-03:00,913.0
1977-12-01,1977,1,12,SECEX12_XVTOT12,1977-12-01T00:00:00-02:00,1033.0
1978-01-01,1978,1,1,SECEX12_XVTOT12,1978-01-01T00:00:00-02:00,803.0
1978-02-01,1978,1,2,SECEX12_XVTOT12,1978-02-01T00:00:00-02:00,818.0
1978-03-01,1978,1,3,SECEX12_XVTOT12,1978-03-01T00:00:00-03:00,1052.0
1978-04-01,1978,1,4,SECEX12_XVTOT12,1978-04-01T00:00:00-03:00,1012.0
1978-05-01,1978,1,5,SECEX12_XVTOT12,1978-05-01T00:00:00-03:00,1065.0
1978-06-01,1978,1,6,SECEX12_XVTOT12,1978-06-01T00:00:00-03:00,1108.0
1978-07-01,1978,1,7,SECEX12_XVTOT12,1978-07-01T00:00:00-03:00,1020.0
1978-08-01,1978,1,8,SECEX12_XVTOT12,1978-08-01T00:00:00-03:00,1082.0
1978-09-01,1978,1,9,SECEX12_XVTOT12,1978-09-01T00:00:00-03:00,1153.0
1978-10-01,1978,1,10,SECEX12_XVTOT12,1978-10-01T00:00:00-03:00,1209.0
1978-11-01,1978,1,11,SECEX12_XVTOT12,1978-11-01T00:00:00-03:00,1126.0
1978-12-01,1978,1,12,SECEX12_XVTOT12,1978-12-01T00:00:00-02:00,1210.0
1979-01-01,1979,1,1,SECEX12_XVTOT12,1979-01-01T00:00:00-02:00,1013.0
1979-02-01,1979,1,2,SECEX12_XVTOT12,1979-02-01T00:00:00-02:00,950.0
1979-03-01,1979,1,3,SECEX12_XVTOT12,1979-03-01T00:00:00-03:00,1160.0
1979-04-01,1979,1,4,SECEX12_XVTOT12,1979-04-01T00:00:00-03:00,1199.0
1979-05-01,1979,1,5,SECEX12_XVTOT12,1979-05-01T00:00:00-03:00,1302.0
1979-06-01,1979,1,6,SECEX12_XVTOT12,1979-06-01T00:00:00-03:00,1176.0
1979-07-01,1979,1,7,SECEX12_XVTOT12,1979-07-01T00:00:00-03:00,1423.0
1979-08-01,1979,1,8,SECEX12_XVTOT12,1979-08-01T00:00:00-03:00,1387.0
1979-09-01,1979,1,9,SECEX12_XVTOT12,1979-09-01T00:00:00-03:00,1369.0
1979-10-01,1979,1,10,SECEX12_XVTOT12,1979-10-01T00:00:00-03:00,1461.0
1979-11-01,1979,1,11,SECEX12_XVTOT12,1979-11-01T00:00:00-03:00,1290.0
1979-12-01,1979,1,12,SECEX12_XVTOT12,1979-12-01T00:00:00-02:00,1514.0
1980-01-01,1980,1,1,SECEX12_XVTOT12,1980-01-01T00:00:00-02:00,1322.0
1980-02-01,1980,1,2,SECEX12_XVTOT12,1980-02-01T00:00:00-02:00,1350.0
1980-03-01,1980,1,3,SECEX12_XVTOT12,1980-03-01T00:00:00-03:00,1442.0
1980-04-01,1980,1,4,SECEX12_XVTOT12,1980-04-01T00:00:00-03:00,1490.0
1980-05-01,1980,1,5,SECEX12_XVTOT12,1980-05-01T00:00:00-03:00,1936.0
1980-06-01,1980,1,6,SECEX12_XVTOT12,1980-06-01T00:00:00-03:00,1653.0
1980-07-01,1980,1,7,SECEX12_XVTOT12,1980-07-01T00:00:00-03:00,1654.0
1980-08-01,1980,1,8,SECEX12_XVTOT12,1980-08-01T00:00:00-03:00,1752.0
1980-09-01,1980,1,9,SECEX12_XVTOT12,1980-09-01T00:00:00-03:00,1801.0
1980-10-01,1980,1,10,SECEX12_XVTOT12,1980-10-01T00:00:00-03:00,1908.0
1980-11-01,1980,1,11,SECEX12_XVTOT12,1980-11-01T00:00:00-03:00,1905.0
1980-12-01,1980,1,12,SECEX12_XVTOT12,1980-12-01T00:00:00-02:00,1919.0
1981-01-01,1981,1,1,SECEX12_XVTOT12,1981-01-01T00:00:00-02:00,1696.0
