DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1991-08-01,1991,1,8,SGS12_7836,1991-08-01T00:00:00-03:00,6260312.0
1991-09-01,1991,1,9,SGS12_7836,1991-09-01T00:00:00-03:00,7043521.0
1991-10-01,1991,1,10,SGS12_7836,1991-10-01T00:00:00-03:00,8497273.0
1991-11-01,1991,1,11,SGS12_7836,1991-11-01T00:00:00-03:00,10650957.0
1991-12-01,1991,1,12,SGS12_7836,1991-12-01T00:00:00-02:00,16153154.0
1992-01-01,1992,1,1,SGS12_7836,1992-01-01T00:00:00-02:00,20396956.0
1992-02-01,1992,1,2,SGS12_7836,1992-02-01T00:00:00-02:00,26346180.0
1992-03-01,1992,1,3,SGS12_7836,1992-03-01T00:00:00-03:00,32639724.0
1992-04-01,1992,1,4,SGS12_7836,1992-04-01T00:00:00-03:00,42212372.0
1992-05-01,1992,1,5,SGS12_7836,1992-05-01T00:00:00-03:00,49237204.0
1992-06-01,1992,1,6,SGS12_7836,1992-06-01T00:00:00-03:00,60862020.0
1992-07-01,1992,1,7,SGS12_7836,1992-07-01T00:00:00-03:00,74086967.0
1992-08-01,1992,1,8,SGS12_7836,1992-08-01T00:00:00-03:00,92397283.0
1992-09-01,1992,1,9,SGS12_7836,1992-09-01T00:00:00-03:00,116839475.0
1992-10-01,1992,1,10,SGS12_7836,1992-10-01T00:00:00-03:00,150378377.0
1992-11-01,1992,1,11,SGS12_7836,1992-11-01T00:00:00-03:00,189346547.0
1992-12-01,1992,1,12,SGS12_7836,1992-12-01T00:00:00-02:00,247599421.0
1993-01-01,1993,1,1,SGS12_7836,1993-01-01T00:00:00-02:00,306787633.0
1993-02-01,1993,1,2,SGS12_7836,1993-02-01T00:00:00-02:00,425764521.0
1993-03-01,1993,1,3,SGS12_7836,1993-03-01T00:00:00-03:00,530843872.0
1993-04-01,1993,1,4,SGS12_7836,1993-04-01T00:00:00-03:00,660747357.0
1993-05-01,1993,1,5,SGS12_7836,1993-05-01T00:00:00-03:00,897391282.0
1993-06-01,1993,1,6,SGS12_7836,1993-06-01T00:00:00-03:00,1198541256.0
1993-07-01,1993,1,7,SGS12_7836,1993-07-01T00:00:00-03:00,1579828259.0
1993-08-01,1993,1,8,SGS12_7836,1993-08-01T00:00:00-03:00,2120591.0
1993-09-01,1993,1,9,SGS12_7836,1993-09-01T00:00:00-03:00,2859000.0
1993-10-01,1993,1,10,SGS12_7836,1993-10-01T00:00:00-03:00,4025458.0
1993-11-01,1993,1,11,SGS12_7836,1993-11-01T00:00:00-03:00,5687720.0
1993-12-01,1993,1,12,SGS12_7836,1993-12-01T00:00:00-02:00,8481691.0
1994-01-01,1994,1,1,SGS12_7836,1994-01-01T00:00:00-02:00,12659316.0
1994-02-01,1994,1,2,SGS12_7836,1994-02-01T00:00:00-02:00,18054254.0
1994-03-01,1994,1,3,SGS12_7836,1994-03-01T00:00:00-03:00,24889318.0
1994-04-01,1994,1,4,SGS12_7836,1994-04-01T00:00:00-03:00,35517808.0
1994-05-01,1994,1,5,SGS12_7836,1994-05-01T00:00:00-03:00,52912380.0
1994-06-01,1994,1,6,SGS12_7836,1994-06-01T00:00:00-03:00,81085454.0
1994-07-01,1994,1,7,SGS12_7836,1994-07-01T00:00:00-03:00,40463.0
1994-08-01,1994,1,8,SGS12_7836,1994-08-01T00:00:00-03:00,41517.0
1994-09-01,1994,1,9,SGS12_7836,1994-09-01T00:00:00-03:00,41501.0
1994-10-01,1994,1,10,SGS12_7836,1994-10-01T00:00:00-03:00,42417.0
1994-11-01,1994,1,11,SGS12_7836,1994-11-01T00:00:00-03:00,43229.0
1994-12-01,1994,1,12,SGS12_7836,1994-12-01T00:00:00-02:00,44945.0
1995-01-01,1995,1,1,SGS12_7836,1995-01-01T00:00:00-02:00,45604.0
1995-02-01,1995,1,2,SGS12_7836,1995-02-01T00:00:00-02:00,46154.0
1995-03-01,1995,1,3,SGS12_7836,1995-03-01T00:00:00-03:00,47159.0
1995-04-01,1995,1,4,SGS12_7836,1995-04-01T00:00:00-03:00,49597.0
1995-05-01,1995,1,5,SGS12_7836,1995-05-01T00:00:00-03:00,52827.0
1995-06-01,1995,1,6,SGS12_7836,1995-06-01T00:00:00-03:00,55465.0
