DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1992-01-01,1992,1,1,SRF12_IPIFU12,1992-01-01T00:00:00-02:00,0.0747941818181818
1992-02-01,1992,1,2,SRF12_IPIFU12,1992-02-01T00:00:00-02:00,0.0835730909090909
1992-03-01,1992,1,3,SRF12_IPIFU12,1992-03-01T00:00:00-03:00,0.0768536363636364
1992-04-01,1992,1,4,SRF12_IPIFU12,1992-04-01T00:00:00-03:00,0.0819050154541818
1992-05-01,1992,1,5,SRF12_IPIFU12,1992-05-01T00:00:00-03:00,0.0830437285469091
1992-06-01,1992,1,6,SRF12_IPIFU12,1992-06-01T00:00:00-03:00,0.112183326257455
1992-07-01,1992,1,7,SRF12_IPIFU12,1992-07-01T00:00:00-03:00,0.135210545454545
1992-08-01,1992,1,8,SRF12_IPIFU12,1992-08-01T00:00:00-03:00,0.170092560293091
1992-09-01,1992,1,9,SRF12_IPIFU12,1992-09-01T00:00:00-03:00,0.324071824663636
1992-10-01,1992,1,10,SRF12_IPIFU12,1992-10-01T00:00:00-03:00,0.418818545454546
1992-11-01,1992,1,11,SRF12_IPIFU12,1992-11-01T00:00:00-03:00,0.538034969500727
1992-12-01,1992,1,12,SRF12_IPIFU12,1992-12-01T00:00:00-02:00,0.653319797754545
1993-01-01,1993,1,1,SRF12_IPIFU12,1993-01-01T00:00:00-02:00,0.934220210029455
1993-02-01,1993,1,2,SRF12_IPIFU12,1993-02-01T00:00:00-02:00,1.32757817715745
1993-03-01,1993,1,3,SRF12_IPIFU12,1993-03-01T00:00:00-03:00,0.785733691861818
1993-04-01,1993,1,4,SRF12_IPIFU12,1993-04-01T00:00:00-03:00,1.81144510357164
1993-05-01,1993,1,5,SRF12_IPIFU12,1993-05-01T00:00:00-03:00,1.99247349823709
1993-06-01,1993,1,6,SRF12_IPIFU12,1993-06-01T00:00:00-03:00,2.46670368807927
1993-07-01,1993,1,7,SRF12_IPIFU12,1993-07-01T00:00:00-03:00,3.34547865662873
1993-08-01,1993,1,8,SRF12_IPIFU12,1993-08-01T00:00:00-03:00,4.31920145454546
1993-09-01,1993,1,9,SRF12_IPIFU12,1993-09-01T00:00:00-03:00,6.01724630763636
1993-10-01,1993,1,10,SRF12_IPIFU12,1993-10-01T00:00:00-03:00,8.11705224836364
1993-11-01,1993,1,11,SRF12_IPIFU12,1993-11-01T00:00:00-03:00,12.3302459792727
1993-12-01,1993,1,12,SRF12_IPIFU12,1993-12-01T00:00:00-02:00,15.9045701818182
1994-01-01,1994,1,1,SRF12_IPIFU12,1994-01-01T00:00:00-02:00,21.486726836
1994-02-01,1994,1,2,SRF12_IPIFU12,1994-02-01T00:00:00-02:00,23.2776044785455
1994-03-01,1994,1,3,SRF12_IPIFU12,1994-03-01T00:00:00-03:00,34.8651665876364
1994-04-01,1994,1,4,SRF12_IPIFU12,1994-04-01T00:00:00-03:00,53.7535815236364
1994-05-01,1994,1,5,SRF12_IPIFU12,1994-05-01T00:00:00-03:00,76.7827240272727
1994-06-01,1994,1,6,SRF12_IPIFU12,1994-06-01T00:00:00-03:00,115.844495130909
1994-07-01,1994,1,7,SRF12_IPIFU12,1994-07-01T00:00:00-03:00,109.257115
1994-08-01,1994,1,8,SRF12_IPIFU12,1994-08-01T00:00:00-03:00,158.959596
1994-09-01,1994,1,9,SRF12_IPIFU12,1994-09-01T00:00:00-03:00,162.673734
1994-10-01,1994,1,10,SRF12_IPIFU12,1994-10-01T00:00:00-03:00,175.443916
1994-11-01,1994,1,11,SRF12_IPIFU12,1994-11-01T00:00:00-03:00,168.681279
1994-12-01,1994,1,12,SRF12_IPIFU12,1994-12-01T00:00:00-02:00,186.69122
1995-01-01,1995,1,1,SRF12_IPIFU12,1995-01-01T00:00:00-02:00,202.989604
1995-02-01,1995,1,2,SRF12_IPIFU12,1995-02-01T00:00:00-02:00,195.774384
1995-03-01,1995,1,3,SRF12_IPIFU12,1995-03-01T00:00:00-03:00,174.664253
1995-04-01,1995,1,4,SRF12_IPIFU12,1995-04-01T00:00:00-03:00,221.024477
1995-05-01,1995,1,5,SRF12_IPIFU12,1995-05-01T00:00:00-03:00,189.431457
1995-06-01,1995,1,6,SRF12_IPIFU12,1995-06-01T00:00:00-03:00,205.09852
1995-07-01,1995,1,7,SRF12_IPIFU12,1995-07-01T00:00:00-03:00,209.870469
1995-08-01,1995,1,8,SRF12_IPIFU12,1995-08-01T00:00:00-03:00,200.057929
1995-09-01,1995,1,9,SRF12_IPIFU12,1995-09-01T00:00:00-03:00,213.85955
1995-10-01,1995,1,10,SRF12_IPIFU12,1995-10-01T00:00:00-03:00,221.090811
1995-11-01,1995,1,11,SRF12_IPIFU12,1995-11-01T00:00:00-03:00,208.927348
1995-12-01,1995,1,12,SRF12_IPIFU12,1995-12-01T00:00:00-02:00,245.60926
1996-01-01,1996,1,1,SRF12_IPIFU12,1996-01-01T00:00:00-02:00,236.882915
1996-02-01,1996,1,2,SRF12_IPIFU12,1996-02-01T00:00:00-02:00,246.675906
1996-03-01,1996,1,3,SRF12_IPIFU12,1996-03-01T00:00:00-03:00,213.704681
1996-04-01,1996,1,4,SRF12_IPIFU12,1996-04-01T00:00:00-03:00,226.713039
