DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1989-01-01,1989,1,1,SRF12_PIS12,1989-01-01T00:00:00-02:00,5.93131065454545e-05
1989-02-01,1989,1,2,SRF12_PIS12,1989-02-01T00:00:00-02:00,8.05500094545455e-05
1989-03-01,1989,1,3,SRF12_PIS12,1989-03-01T00:00:00-03:00,0.000104214536363636
1989-04-01,1989,1,4,SRF12_PIS12,1989-04-01T00:00:00-03:00,6.35893730909091e-05
1989-05-01,1989,1,5,SRF12_PIS12,1989-05-01T00:00:00-03:00,6.88996956363636e-05
1989-06-01,1989,1,6,SRF12_PIS12,1989-06-01T00:00:00-03:00,9.97539698181818e-05
1989-07-01,1989,1,7,SRF12_PIS12,1989-07-01T00:00:00-03:00,9.2964884e-05
1989-08-01,1989,1,8,SRF12_PIS12,1989-08-01T00:00:00-03:00,0.000167510394909091
1989-09-01,1989,1,9,SRF12_PIS12,1989-09-01T00:00:00-03:00,0.000257665357818182
1989-10-01,1989,1,10,SRF12_PIS12,1989-10-01T00:00:00-03:00,0.000377959220727273
1989-11-01,1989,1,11,SRF12_PIS12,1989-11-01T00:00:00-03:00,0.000562788385454546
1989-12-01,1989,1,12,SRF12_PIS12,1989-12-01T00:00:00-02:00,0.000841037773818182
1990-01-01,1990,1,1,SRF12_PIS12,1990-01-01T00:00:00-02:00,0.00130704082472727
1990-02-01,1990,1,2,SRF12_PIS12,1990-02-01T00:00:00-02:00,0.00313948751490909
1990-03-01,1990,1,3,SRF12_PIS12,1990-03-01T00:00:00-03:00,0.00566198911127273
1990-04-01,1990,1,4,SRF12_PIS12,1990-04-01T00:00:00-03:00,0.00808530898218182
1990-05-01,1990,1,5,SRF12_PIS12,1990-05-01T00:00:00-03:00,0.0108778168421818
1990-06-01,1990,1,6,SRF12_PIS12,1990-06-01T00:00:00-03:00,0.0108038426763636
1990-07-01,1990,1,7,SRF12_PIS12,1990-07-01T00:00:00-03:00,0.0113760930963636
1990-08-01,1990,1,8,SRF12_PIS12,1990-08-01T00:00:00-03:00,0.0123761016974545
1990-09-01,1990,1,9,SRF12_PIS12,1990-09-01T00:00:00-03:00,0.014721352084
1990-10-01,1990,1,10,SRF12_PIS12,1990-10-01T00:00:00-03:00,0.0161641046269091
1990-11-01,1990,1,11,SRF12_PIS12,1990-11-01T00:00:00-03:00,0.0185442616763636
1990-12-01,1990,1,12,SRF12_PIS12,1990-12-01T00:00:00-02:00,0.0190824881556364
1991-01-01,1991,1,1,SRF12_PIS12,1991-01-01T00:00:00-02:00,0.0251092281221818
1991-02-01,1991,1,2,SRF12_PIS12,1991-02-01T00:00:00-02:00,0.0239704017265454
1991-03-01,1991,1,3,SRF12_PIS12,1991-03-01T00:00:00-03:00,0.0328564850472727
1991-04-01,1991,1,4,SRF12_PIS12,1991-04-01T00:00:00-03:00,0.0421373565232727
1991-05-01,1991,1,5,SRF12_PIS12,1991-05-01T00:00:00-03:00,0.0391890721312727
1991-06-01,1991,1,6,SRF12_PIS12,1991-06-01T00:00:00-03:00,0.0356671526312727
1991-07-01,1991,1,7,SRF12_PIS12,1991-07-01T00:00:00-03:00,0.060432515588
1991-08-01,1991,1,8,SRF12_PIS12,1991-08-01T00:00:00-03:00,0.0419897705210909
1991-09-01,1991,1,9,SRF12_PIS12,1991-09-01T00:00:00-03:00,0.0572128252487273
1991-10-01,1991,1,10,SRF12_PIS12,1991-10-01T00:00:00-03:00,0.0893654255530909
1991-11-01,1991,1,11,SRF12_PIS12,1991-11-01T00:00:00-03:00,0.0765122941938182
1991-12-01,1991,1,12,SRF12_PIS12,1991-12-01T00:00:00-02:00,0.106773215989091
1992-01-01,1992,1,1,SRF12_PIS12,1992-01-01T00:00:00-02:00,0.144469090909091
1992-02-01,1992,1,2,SRF12_PIS12,1992-02-01T00:00:00-02:00,0.179780363636364
1992-03-01,1992,1,3,SRF12_PIS12,1992-03-01T00:00:00-03:00,0.215748872727273
1992-04-01,1992,1,4,SRF12_PIS12,1992-04-01T00:00:00-03:00,0.248141226940727
1992-05-01,1992,1,5,SRF12_PIS12,1992-05-01T00:00:00-03:00,0.343434682555273
1992-06-01,1992,1,6,SRF12_PIS12,1992-06-01T00:00:00-03:00,0.389831864628
1992-07-01,1992,1,7,SRF12_PIS12,1992-07-01T00:00:00-03:00,0.437473454545455
1992-08-01,1992,1,8,SRF12_PIS12,1992-08-01T00:00:00-03:00,0.557127733113818
1992-09-01,1992,1,9,SRF12_PIS12,1992-09-01T00:00:00-03:00,0.726178181818182
1992-10-01,1992,1,10,SRF12_PIS12,1992-10-01T00:00:00-03:00,1.01451345454545
1992-11-01,1992,1,11,SRF12_PIS12,1992-11-01T00:00:00-03:00,1.28782863085855
1992-12-01,1992,1,12,SRF12_PIS12,1992-12-01T00:00:00-02:00,1.39709415346145
1993-01-01,1993,1,1,SRF12_PIS12,1993-01-01T00:00:00-02:00,1.66665664644909
1993-02-01,1993,1,2,SRF12_PIS12,1993-02-01T00:00:00-02:00,2.27320499510145
1993-03-01,1993,1,3,SRF12_PIS12,1993-03-01T00:00:00-03:00,3.00150141888182
1993-04-01,1993,1,4,SRF12_PIS12,1993-04-01T00:00:00-03:00,4.15070865763564
1993-05-01,1993,1,5,SRF12_PIS12,1993-05-01T00:00:00-03:00,5.14547617340436
1993-06-01,1993,1,6,SRF12_PIS12,1993-06-01T00:00:00-03:00,6.82429448341091
1993-07-01,1993,1,7,SRF12_PIS12,1993-07-01T00:00:00-03:00,9.25171125509782
1993-08-01,1993,1,8,SRF12_PIS12,1993-08-01T00:00:00-03:00,12.3418392727273
1993-09-01,1993,1,9,SRF12_PIS12,1993-09-01T00:00:00-03:00,16.1635395218182
1993-10-01,1993,1,10,SRF12_PIS12,1993-10-01T00:00:00-03:00,22.1845044647273
1993-11-01,1993,1,11,SRF12_PIS12,1993-11-01T00:00:00-03:00,36.5605466323636
1993-12-01,1993,1,12,SRF12_PIS12,1993-12-01T00:00:00-02:00,43.9813887272727
1994-01-01,1994,1,1,SRF12_PIS12,1994-01-01T00:00:00-02:00,60.855315404
1994-02-01,1994,1,2,SRF12_PIS12,1994-02-01T00:00:00-02:00,83.8310752767273
1994-03-01,1994,1,3,SRF12_PIS12,1994-03-01T00:00:00-03:00,123.014466718909
1994-04-01,1994,1,4,SRF12_PIS12,1994-04-01T00:00:00-03:00,178.744862452
1994-05-01,1994,1,5,SRF12_PIS12,1994-05-01T00:00:00-03:00,253.672339305091
1994-06-01,1994,1,6,SRF12_PIS12,1994-06-01T00:00:00-03:00,380.762115103636
1994-07-01,1994,1,7,SRF12_PIS12,1994-07-01T00:00:00-03:00,390.3162016
1994-08-01,1994,1,8,SRF12_PIS12,1994-08-01T00:00:00-03:00,405.593797
1994-09-01,1994,1,9,SRF12_PIS12,1994-09-01T00:00:00-03:00,459.170394
1994-10-01,1994,1,10,SRF12_PIS12,1994-10-01T00:00:00-03:00,435.512289
1994-11-01,1994,1,11,SRF12_PIS12,1994-11-01T00:00:00-03:00,463.79114
1994-12-01,1994,1,12,SRF12_PIS12,1994-12-01T00:00:00-02:00,507.866473
1995-01-01,1995,1,1,SRF12_PIS12,1995-01-01T00:00:00-02:00,487.161945
1995-02-01,1995,1,2,SRF12_PIS12,1995-02-01T00:00:00-02:00,447.914725
1995-03-01,1995,1,3,SRF12_PIS12,1995-03-01T00:00:00-03:00,491.034318
1995-04-01,1995,1,4,SRF12_PIS12,1995-04-01T00:00:00-03:00,516.016719
1995-05-01,1995,1,5,SRF12_PIS12,1995-05-01T00:00:00-03:00,498.576113
1995-06-01,1995,1,6,SRF12_PIS12,1995-06-01T00:00:00-03:00,536.987762
1995-07-01,1995,1,7,SRF12_PIS12,1995-07-01T00:00:00-03:00,518.799209
1995-08-01,1995,1,8,SRF12_PIS12,1995-08-01T00:00:00-03:00,519.373462
1995-09-01,1995,1,9,SRF12_PIS12,1995-09-01T00:00:00-03:00,541.837737
1995-10-01,1995,1,10,SRF12_PIS12,1995-10-01T00:00:00-03:00,510.836142
1995-11-01,1995,1,11,SRF12_PIS12,1995-11-01T00:00:00-03:00,540.718299
1995-12-01,1995,1,12,SRF12_PIS12,1995-12-01T00:00:00-02:00,513.243405
1996-01-01,1996,1,1,SRF12_PIS12,1996-01-01T00:00:00-02:00,612.477996
1996-02-01,1996,1,2,SRF12_PIS12,1996-02-01T00:00:00-02:00,542.828269
1996-03-01,1996,1,3,SRF12_PIS12,1996-03-01T00:00:00-03:00,549.39348
1996-04-01,1996,1,4,SRF12_PIS12,1996-04-01T00:00:00-03:00,599.525944
1996-05-01,1996,1,5,SRF12_PIS12,1996-05-01T00:00:00-03:00,590.876955
1996-06-01,1996,1,6,SRF12_PIS12,1996-06-01T00:00:00-03:00,618.304086
1996-07-01,1996,1,7,SRF12_PIS12,1996-07-01T00:00:00-03:00,584.260788
1996-08-01,1996,1,8,SRF12_PIS12,1996-08-01T00:00:00-03:00,643.631724
1996-09-01,1996,1,9,SRF12_PIS12,1996-09-01T00:00:00-03:00,776.508168
1996-10-01,1996,1,10,SRF12_PIS12,1996-10-01T00:00:00-03:00,641.150685
1996-11-01,1996,1,11,SRF12_PIS12,1996-11-01T00:00:00-03:00,631.601469
1996-12-01,1996,1,12,SRF12_PIS12,1996-12-01T00:00:00-02:00,599.070198
