DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1986-01-01,1986,1,1,SRF12_TOTREC12,1986-01-01T00:00:00-02:00,1.71268868345455e-05
1986-02-01,1986,1,2,SRF12_TOTREC12,1986-02-01T00:00:00-02:00,6.26251587490909e-06
1986-03-01,1986,1,3,SRF12_TOTREC12,1986-03-01T00:00:00-03:00,8.78328294436364e-06
1986-04-01,1986,1,4,SRF12_TOTREC12,1986-04-01T00:00:00-03:00,8.42226325127273e-06
1986-05-01,1986,1,5,SRF12_TOTREC12,1986-05-01T00:00:00-03:00,8.93982155672728e-06
1986-06-01,1986,1,6,SRF12_TOTREC12,1986-06-01T00:00:00-03:00,1.00080857130909e-05
1986-07-01,1986,1,7,SRF12_TOTREC12,1986-07-01T00:00:00-03:00,1.04486327865455e-05
1986-08-01,1986,1,8,SRF12_TOTREC12,1986-08-01T00:00:00-03:00,1.00924659367273e-05
1986-09-01,1986,1,9,SRF12_TOTREC12,1986-09-01T00:00:00-03:00,1.25567481196364e-05
1986-10-01,1986,1,10,SRF12_TOTREC12,1986-10-01T00:00:00-03:00,1.39282027749091e-05
1986-11-01,1986,1,11,SRF12_TOTREC12,1986-11-01T00:00:00-03:00,1.28141493730909e-05
1986-12-01,1986,1,12,SRF12_TOTREC12,1986-12-01T00:00:00-02:00,1.37477179436364e-05
1987-01-01,1987,1,1,SRF12_TOTREC12,1987-01-01T00:00:00-02:00,1.49298009058182e-05
1987-02-01,1987,1,2,SRF12_TOTREC12,1987-02-01T00:00:00-02:00,1.49810597698182e-05
1987-03-01,1987,1,3,SRF12_TOTREC12,1987-03-01T00:00:00-03:00,1.76561333345455e-05
1987-04-01,1987,1,4,SRF12_TOTREC12,1987-04-01T00:00:00-03:00,2.83871872963636e-05
1987-05-01,1987,1,5,SRF12_TOTREC12,1987-05-01T00:00:00-03:00,2.51993059083636e-05
1987-06-01,1987,1,6,SRF12_TOTREC12,1987-06-01T00:00:00-03:00,3.00180094294545e-05
1987-07-01,1987,1,7,SRF12_TOTREC12,1987-07-01T00:00:00-03:00,3.37533727116364e-05
1987-08-01,1987,1,8,SRF12_TOTREC12,1987-08-01T00:00:00-03:00,3.41263875287273e-05
1987-09-01,1987,1,9,SRF12_TOTREC12,1987-09-01T00:00:00-03:00,3.82153304498182e-05
1987-10-01,1987,1,10,SRF12_TOTREC12,1987-10-01T00:00:00-03:00,4.09253208414545e-05
1987-11-01,1987,1,11,SRF12_TOTREC12,1987-11-01T00:00:00-03:00,4.66440090818182e-05
1987-12-01,1987,1,12,SRF12_TOTREC12,1987-12-01T00:00:00-02:00,5.93222252847273e-05
1988-01-01,1988,1,1,SRF12_TOTREC12,1988-01-01T00:00:00-02:00,6.53292829032727e-05
1988-02-01,1988,1,2,SRF12_TOTREC12,1988-02-01T00:00:00-02:00,6.51077790214546e-05
1988-03-01,1988,1,3,SRF12_TOTREC12,1988-03-01T00:00:00-03:00,8.03288435996364e-05
1988-04-01,1988,1,4,SRF12_TOTREC12,1988-04-01T00:00:00-03:00,0.000126567083164727
1988-05-01,1988,1,5,SRF12_TOTREC12,1988-05-01T00:00:00-03:00,0.000134965338512
1988-06-01,1988,1,6,SRF12_TOTREC12,1988-06-01T00:00:00-03:00,0.000154432584510545
1988-07-01,1988,1,7,SRF12_TOTREC12,1988-07-01T00:00:00-03:00,0.000198108966558545
1988-08-01,1988,1,8,SRF12_TOTREC12,1988-08-01T00:00:00-03:00,0.000252900073560727
1988-09-01,1988,1,9,SRF12_TOTREC12,1988-09-01T00:00:00-03:00,0.000308787694558909
1988-10-01,1988,1,10,SRF12_TOTREC12,1988-10-01T00:00:00-03:00,0.000372853120881454
1988-11-01,1988,1,11,SRF12_TOTREC12,1988-11-01T00:00:00-03:00,0.000484292152551636
1988-12-01,1988,1,12,SRF12_TOTREC12,1988-12-01T00:00:00-02:00,0.000584789108912
1989-01-01,1989,1,1,SRF12_TOTREC12,1989-01-01T00:00:00-02:00,0.000794059721090909
1989-02-01,1989,1,2,SRF12_TOTREC12,1989-02-01T00:00:00-02:00,0.000704419720727273
1989-03-01,1989,1,3,SRF12_TOTREC12,1989-03-01T00:00:00-03:00,0.0008912932
1989-04-01,1989,1,4,SRF12_TOTREC12,1989-04-01T00:00:00-03:00,0.00112254305345455
1989-05-01,1989,1,5,SRF12_TOTREC12,1989-05-01T00:00:00-03:00,0.00136983577236364
1989-06-01,1989,1,6,SRF12_TOTREC12,1989-06-01T00:00:00-03:00,0.00153969633563636
1989-07-01,1989,1,7,SRF12_TOTREC12,1989-07-01T00:00:00-03:00,0.00185620382872727
1989-08-01,1989,1,8,SRF12_TOTREC12,1989-08-01T00:00:00-03:00,0.00245267036436364
1989-09-01,1989,1,9,SRF12_TOTREC12,1989-09-01T00:00:00-03:00,0.00349082432690909
1989-10-01,1989,1,10,SRF12_TOTREC12,1989-10-01T00:00:00-03:00,0.00499065010036364
1989-11-01,1989,1,11,SRF12_TOTREC12,1989-11-01T00:00:00-03:00,0.00834294998181818
1989-12-01,1989,1,12,SRF12_TOTREC12,1989-12-01T00:00:00-02:00,0.0138675594370909
1990-01-01,1990,1,1,SRF12_TOTREC12,1990-01-01T00:00:00-02:00,0.0228732182087273
1990-02-01,1990,1,2,SRF12_TOTREC12,1990-02-01T00:00:00-02:00,0.0374314673538182
1990-03-01,1990,1,3,SRF12_TOTREC12,1990-03-01T00:00:00-03:00,0.0680553935941818
1990-04-01,1990,1,4,SRF12_TOTREC12,1990-04-01T00:00:00-03:00,0.171153350654909
1990-05-01,1990,1,5,SRF12_TOTREC12,1990-05-01T00:00:00-03:00,0.149634305856364
1990-06-01,1990,1,6,SRF12_TOTREC12,1990-06-01T00:00:00-03:00,0.0854621017261818
1990-07-01,1990,1,7,SRF12_TOTREC12,1990-07-01T00:00:00-03:00,0.0933283203858182
1990-08-01,1990,1,8,SRF12_TOTREC12,1990-08-01T00:00:00-03:00,0.117088389444727
1990-09-01,1990,1,9,SRF12_TOTREC12,1990-09-01T00:00:00-03:00,0.117345241187636
1990-10-01,1990,1,10,SRF12_TOTREC12,1990-10-01T00:00:00-03:00,0.148042323074909
1990-11-01,1990,1,11,SRF12_TOTREC12,1990-11-01T00:00:00-03:00,0.167091419848727
1990-12-01,1990,1,12,SRF12_TOTREC12,1990-12-01T00:00:00-02:00,0.193965336465091
1991-01-01,1991,1,1,SRF12_TOTREC12,1991-01-01T00:00:00-02:00,0.215218722457455
1991-02-01,1991,1,2,SRF12_TOTREC12,1991-02-01T00:00:00-02:00,0.210247613441818
1991-03-01,1991,1,3,SRF12_TOTREC12,1991-03-01T00:00:00-03:00,0.250614995338909
1991-04-01,1991,1,4,SRF12_TOTREC12,1991-04-01T00:00:00-03:00,0.393685285191273
1991-05-01,1991,1,5,SRF12_TOTREC12,1991-05-01T00:00:00-03:00,0.397542700418909
1991-06-01,1991,1,6,SRF12_TOTREC12,1991-06-01T00:00:00-03:00,0.388633728312
1991-07-01,1991,1,7,SRF12_TOTREC12,1991-07-01T00:00:00-03:00,0.480401388321455
1991-08-01,1991,1,8,SRF12_TOTREC12,1991-08-01T00:00:00-03:00,0.433938953436727
1991-09-01,1991,1,9,SRF12_TOTREC12,1991-09-01T00:00:00-03:00,0.474834018678909
1991-10-01,1991,1,10,SRF12_TOTREC12,1991-10-01T00:00:00-03:00,0.642828049167273
1991-11-01,1991,1,11,SRF12_TOTREC12,1991-11-01T00:00:00-03:00,0.684851185076727
1991-12-01,1991,1,12,SRF12_TOTREC12,1991-12-01T00:00:00-02:00,0.995383488273454
1992-01-01,1992,1,1,SRF12_TOTREC12,1992-01-01T00:00:00-02:00,0.930031535444727
1992-02-01,1992,1,2,SRF12_TOTREC12,1992-02-01T00:00:00-02:00,1.292903976776
1992-03-01,1992,1,3,SRF12_TOTREC12,1992-03-01T00:00:00-03:00,1.63830685194286
1992-04-01,1992,1,4,SRF12_TOTREC12,1992-04-01T00:00:00-03:00,2.38820405773339
1992-05-01,1992,1,5,SRF12_TOTREC12,1992-05-01T00:00:00-03:00,3.49692332460655
1992-06-01,1992,1,6,SRF12_TOTREC12,1992-06-01T00:00:00-03:00,3.56823126412073
1992-07-01,1992,1,7,SRF12_TOTREC12,1992-07-01T00:00:00-03:00,4.61219709090909
1992-08-01,1992,1,8,SRF12_TOTREC12,1992-08-01T00:00:00-03:00,5.85432736968836
1992-09-01,1992,1,9,SRF12_TOTREC12,1992-09-01T00:00:00-03:00,6.80600004240691
1992-10-01,1992,1,10,SRF12_TOTREC12,1992-10-01T00:00:00-03:00,8.97748072727273
1992-11-01,1992,1,11,SRF12_TOTREC12,1992-11-01T00:00:00-03:00,11.116719929372
1992-12-01,1992,1,12,SRF12_TOTREC12,1992-12-01T00:00:00-02:00,14.4006510145985
1993-01-01,1993,1,1,SRF12_TOTREC12,1993-01-01T00:00:00-02:00,17.8470826834909
1993-02-01,1993,1,2,SRF12_TOTREC12,1993-02-01T00:00:00-02:00,22.8808752739436
1993-03-01,1993,1,3,SRF12_TOTREC12,1993-03-01T00:00:00-03:00,27.1525243552047
1993-04-01,1993,1,4,SRF12_TOTREC12,1993-04-01T00:00:00-03:00,39.7727299609869
1993-05-01,1993,1,5,SRF12_TOTREC12,1993-05-01T00:00:00-03:00,64.9901559336495
1993-06-01,1993,1,6,SRF12_TOTREC12,1993-06-01T00:00:00-03:00,65.5980893201
1993-07-01,1993,1,7,SRF12_TOTREC12,1993-07-01T00:00:00-03:00,84.9147968009
1993-08-01,1993,1,8,SRF12_TOTREC12,1993-08-01T00:00:00-03:00,105.997657090909
1993-09-01,1993,1,9,SRF12_TOTREC12,1993-09-01T00:00:00-03:00,162.354663759636
1993-10-01,1993,1,10,SRF12_TOTREC12,1993-10-01T00:00:00-03:00,203.544467229818
1993-11-01,1993,1,11,SRF12_TOTREC12,1993-11-01T00:00:00-03:00,324.900047700364
1993-12-01,1993,1,12,SRF12_TOTREC12,1993-12-01T00:00:00-02:00,467.179329818182
1994-01-01,1994,1,1,SRF12_TOTREC12,1994-01-01T00:00:00-02:00,690.637297634182
1994-02-01,1994,1,2,SRF12_TOTREC12,1994-02-01T00:00:00-02:00,874.637490755273
1994-03-01,1994,1,3,SRF12_TOTREC12,1994-03-01T00:00:00-03:00,1247.11645431818
1994-04-01,1994,1,4,SRF12_TOTREC12,1994-04-01T00:00:00-03:00,2081.89707130255
1994-05-01,1994,1,5,SRF12_TOTREC12,1994-05-01T00:00:00-03:00,2732.35513952909
1994-06-01,1994,1,6,SRF12_TOTREC12,1994-06-01T00:00:00-03:00,4084.82853733127
1994-07-01,1994,1,7,SRF12_TOTREC12,1994-07-01T00:00:00-03:00,4548.58531434
1994-08-01,1994,1,8,SRF12_TOTREC12,1994-08-01T00:00:00-03:00,5375.149194
1994-09-01,1994,1,9,SRF12_TOTREC12,1994-09-01T00:00:00-03:00,5671.773502
1994-10-01,1994,1,10,SRF12_TOTREC12,1994-10-01T00:00:00-03:00,5566.196154
1994-11-01,1994,1,11,SRF12_TOTREC12,1994-11-01T00:00:00-03:00,5766.850752
1994-12-01,1994,1,12,SRF12_TOTREC12,1994-12-01T00:00:00-02:00,7243.840714
1995-01-01,1995,1,1,SRF12_TOTREC12,1995-01-01T00:00:00-02:00,6523.848757
1995-02-01,1995,1,2,SRF12_TOTREC12,1995-02-01T00:00:00-02:00,5655.976351
1995-03-01,1995,1,3,SRF12_TOTREC12,1995-03-01T00:00:00-03:00,6953.486741
1995-04-01,1995,1,4,SRF12_TOTREC12,1995-04-01T00:00:00-03:00,6097.081017
1995-05-01,1995,1,5,SRF12_TOTREC12,1995-05-01T00:00:00-03:00,7894.920439
1995-06-01,1995,1,6,SRF12_TOTREC12,1995-06-01T00:00:00-03:00,7121.501334
1995-07-01,1995,1,7,SRF12_TOTREC12,1995-07-01T00:00:00-03:00,6468.483982
1995-08-01,1995,1,8,SRF12_TOTREC12,1995-08-01T00:00:00-03:00,6635.53026
1995-09-01,1995,1,9,SRF12_TOTREC12,1995-09-01T00:00:00-03:00,6649.660207
